

Performance Summary

,All Trades,Long Trades,Short Trades,
,Buy to Cover,7/24/2018 13:30,Profit Target,@CC,$2502,,$2000.00,$2000.00,,($30.00),100.00%,98.52%,$0.00,$0.00,
2,Buy,7/30/2018 13:30,Buy,@CC,$2506,$0.00,1,($1000.00),-3.99%,$70.00,6.54%,,$0.00,$0.00,
,Sell,7/31/2018 13:30,Stop Loss,@CC,$2406,,($1000.00),$1000.00,,($1000.00),0.00%,-93.46%,$0.00,$0.00,
3,Buy,8/6/2018 13:30,Buy,@CC,$2362,$0.00,1,$2000.00,8.47%,$2000.00,83.68%,,$0.00,$0.00,
,Sell,8/24/2018 10:43,Profit Target,@CC,$2562,,$2000.00,$3000.00,,($390.00),100.00%,83.68%,$0.00,$0.00,
4,Sell Short,8/30/2018 13:30,Short,@CC,$2509,$0.00,1,$580.00,2.31%,$1390.00,64.06%,,$0.00,$0.00,
,Buy to Cover,9/24/2018 13:30,Buy,@CC,$2451,,$580.00,$3580.00,,($780.00),62.67%,26.73%,$0.00,$0.00,
5,Buy,9/24/2018 13:30,Buy,@CC,$2451,$0.00,1,($1000.00),-4.08%,$190.00,15.97%,,$0.00,$0.00,
,Sell,9/27/2018 10:43,Stop Loss,@CC,$2351,,($1000.00),$2580.00,,($1000.00),0.00%,-84.03%,$0.00,$0.00,
6,Sell Short,10/3/2018 13:30,Short,@CC,$2237,$0.00,1,($150.00),-0.67%,$190.00,30.65%,,$0.00,$0.00,
,Buy to Cover,10/5/2018 13:30,Buy,@CC,$2252,,($150.00),$2430.00,,($430.00),45.16%,-24.19%,$0.00,$0.00,
7,Buy,10/5/2018 13:30,Buy,@CC,$2252,$0.00,1,$2000.00,8.88%,$2000.00,92.59%,,$0.00,$0.00,
,Sell,10/26/2018 10:43,Profit Target,@CC,$2452,,$2000.00,$4430.00,,($160.00),100.00%,92.59%,$0.00,$0.00,
8,Buy,11/29/2018 10:43,Buy,@CC,$2308,$0.00,1,$2000.00,8.67%,$2000.00,88.89%,,$0.00,$0.00,
,Sell,12/24/2018 10:43,Profit Target,@CC,$2508,,$2000.00,$6430.00,,($250.00),100.00%,88.89%,$0.00,$0.00,
9,Sell Short,1/8/2019 10:43,Short,@CC,$2577,$0.00,1,$1110.00,4.31%,$1710.00,94.48%,,$0.00,$0.00,
,Buy to Cover,1/28/2019 13:30,Buy,@CC,$2466,,$1110.00,$7540.00,,($100.00),66.85%,61.33%,$0.00,$0.00,
10,Buy,1/28/2019 13:30,Buy,@CC,$2466,$0.00,1,($1000.00),-4.06%,$60.00,5.66%,,$0.00,$0.00,
,Sell,1/30/2019 10:43,Stop Loss,@CC,$2366,,($1000.00),$6540.00,,($1000.00),0.00%,-94.34%,$0.00,$0.00,
11,Buy,2/8/2019 10:43,Buy,@CC,$2413,$0.00,1,($240.00),-0.99%,$1050.00,75.00%,,$0.00,$0.00,
,Sell,2/28/2019 13:30,Short,@CC,$2389,,($240.00),$6300.00,,($350.00),7.86%,-17.14%,$0.00,$0.00,
12,Sell Short,2/28/2019 13:30,Short,@CC,$2389,$0.00,1,$270.00,1.13%,$970.00,71.32%,,$0.00,$0.00,
,Buy to Cover,3/13/2019 10:43,Buy,@CC,$2362,,$270.00,$6570.00,,($390.00),48.53%,19.85%,$0.00,$0.00,
13,Buy,3/13/2019 10:43,Buy,@CC,$2362,$0.00,1,($1000.00),-4.23%,$530.00,34.64%,,$0.00,$0.00,
