

Performance Summary

,All Trades,Long Trades,Short Trades,
,Sell,3/21/2019 13:30,Stop Loss,@CC,$2262,,($1000.00),$5570.00,,($1000.00),0.00%,-65.36%,$0.00,$0.00,
14,Sell Short,4/9/2019 13:30,Short,@CC,$2572,$0.00,1,$390.00,1.52%,$1710.00,85.50%,,$0.00,$0.00,
,Buy to Cover,5/2/2019 13:30,Buy,@CC,$2533,,$390.00,$5960.00,,($290.00),34.00%,19.50%,$0.00,$0.00,
15,Buy,5/2/2019 13:30,Buy,@CC,$2533,$0.00,1,($1000.00),-3.95%,$340.00,25.37%,,$0.00,$0.00,
,Sell,5/15/2019 10:43,Stop Loss,@CC,$2433,,($1000.00),$4960.00,,($1000.00),0.00%,-74.63%,$0.00,$0.00,
16,Sell Short,6/20/2019 13:30,Short,@CC,$2633,$0.00,1,($1000.00),-3.80%,$340.00,25.37%,,$0.00,$0.00,
,Buy to Cover,7/8/2019 10:43,Stop Loss,@CC,$2733,,($1000.00),$3960.00,,($1000.00),0.00%,-74.63%,$0.00,$0.00,
17,Buy,8/15/2019 10:43,Buy,@CC,$2351,$0.00,1,$2000.00,8.51%,$2000.00,78.13%,,$0.00,$0.00,
,Sell,9/19/2019 10:43,Profit Target,@CC,$2551,,$2000.00,$5960.00,,($560.00),100.00%,78.13%,$0.00,$0.00,
18,Sell Short,9/27/2019 13:30,Short,@CC,$2620,$0.00,1,($330.00),-1.26%,$990.00,59.28%,,$0.00,$0.00,
,Buy to Cover,10/15/2019 13:30,Buy,@CC,$2653,,($330.00),$5630.00,,($680.00),20.96%,-19.76%,$0.00,$0.00,
19,Buy,10/15/2019 13:30,Buy,@CC,$2653,$0.00,1,($1000.00),-3.77%,$250.00,20.00%,,$0.00,$0.00,
,Sell,10/23/2019 10:43,Stop Loss,@CC,$2553,,($1000.00),$4630.00,,($1000.00),0.00%,-80.00%,$0.00,$0.00,
20,Sell Short,11/6/2019 13:30,Short,@CC,$2572,$0.00,1,($1000.00),-3.89%,$350.00,25.93%,,$0.00,$0.00,
,Buy to Cover,11/12/2019 10:43,Stop Loss,@CC,$2672,,($1000.00),$3630.00,,($1000.00),0.00%,-74.07%,$0.00,$0.00,
21,Buy,12/11/2019 10:43,Buy,@CC,$2718,$0.00,1,($1000.00),-3.68%,$290.00,22.48%,,$0.00,$0.00,
,Sell,12/18/2019 13:30,Stop Loss,@CC,$2618,,($1000.00),$2630.00,,($1000.00),0.00%,-77.52%,$0.00,$0.00,
22,Buy,12/27/2019 10:43,Buy,@CC,$2548,$0.00,1,$2050.00,8.05%,$2050.00,100.00%,,$0.00,$0.00,
,Sell,1/14/2020 10:43,Profit Target,@CC,$2753,,$2050.00,$4680.00,,$0.00,100.00%,100.00%,$0.00,$0.00,
23,Sell Short,2/6/2020 10:43,Short,@CC,$2924,$0.00,1,($1000.00),-3.42%,$290.00,22.48%,,$0.00,$0.00,
,Buy to Cover,2/7/2020 10:43,Stop Loss,@CC,$3024,,($1000.00),$3680.00,,($1000.00),0.00%,-77.52%,$0.00,$0.00,
24,Sell Short,2/14/2020 13:30,Short,@CC,$3019,$0.00,1,$2000.00,6.62%,$2000.00,90.50%,,$0.00,$0.00,
,Buy to Cover,2/28/2020 10:43,Profit Target,@CC,$2819,,$2000.00,$5680.00,,($210.00),100.00%,90.50%,$0.00,$0.00,
25,Sell Short,3/12/2020 13:30,Short,@CC,$2641,$0.00,1,$2000.00,7.57%,$2000.00,93.90%,,$0.00,$0.00,
,Buy to Cover,3/17/2020 10:43,Profit Target,@CC,$2441,,$2000.00,$7680.00,,($130.00),100.00%,93.90%,$0.00,$0.00,
26,Buy,3/26/2020 10:43,Buy,@CC,$2385,$0.00,1,$1270.00,5.32%,$1840.00,83.26%,,$0.00,$0.00,
,Sell,5/6/2020 10:43,Short,@CC,$2512,,$1270.00,$8950.00,,($370.00),74.21%,57.47%,$0.00,$0.00,
27,Sell Short,5/6/2020 10:43,Short,@CC,$2512,$0.00,1,($1000.00),-3.98%,$360.00,26.47%,,$0.00,$0.00,
,Buy to Cover,5/11/2020 10:43,Stop Loss,@CC,$2612,,($1000.00),$7950.00,,($1000.00),0.00%,-73.53%,$0.00,$0.00,
28,Sell Short,5/27/2020 13:30,Short,@CC,$2496,$0.00,1,($670.00),-2.68%,$90.00,11.11%,,$0.00,$0.00,
,Buy to Cover,5/28/2020 13:30,Buy,@CC,$2563,,($670.00),$7280.00,,($720.00),6.17%,-82.72%,$0.00,$0.00,
29,Buy,5/28/2020 13:30,Buy,@CC,$2563,$0.00,1,($1000.00),-3.90%,$900.00,47.37%,,$0.00,$0.00,
,Sell,6/11/2020 13:30,Stop Loss,@CC,$2463,,($1000.00),$6280.00,,($1000.00),0.00%,-52.63%,$0.00,$0.00,
30,Sell Short,7/6/2020 10:43,Short,@CC,$2342,$0.00,1,$230.00,0.98%,$660.00,62.86%,,$0.00,$0.00,
,Buy to Cover,7/16/2020 10:43,Buy,@CC,$2319,,$230.00,$6510.00,,($390.00),59.05%,21.90%,$0.00,$0.00,
31,Buy,7/16/2020 10:43,Buy,@CC,$2319,$0.00,1,$2000.00,8.62%,$2000.00,90.91%,,$0.00,$0.00,
,Sell,7/29/2020 10:43,Profit Target,@CC,$2519,,$2000.00,$8510.00,,($200.00),100.00%,90.91%,$0.00,$0.00,
32,Sell Short,8/17/2020 10:43,Short,@CC,$2653,$0.00,1,($1000.00),-3.77%,$910.00,47.64%,,$0.00,$0.00,
,Buy to Cover,8/27/2020 10:43,Stop Loss,@CC,$2753,,($1000.00),$7510.00,,($1000.00),0.00%,-52.36%,$0.00,$0.00,
33,Sell Short,9/3/2020 13:30,Short,@CC,$2869,$0.00,1,$370.00,1.29%,$1410.00,79.66%,,$0.00,$0.00,
,Buy to Cover,9/17/2020 13:30,Buy,@CC,$2832,,$370.00,$7880.00,,($360.00),41.24%,20.90%,$0.00,$0.00,
34,Buy,9/17/2020 13:30,Buy,@CC,$2832,$0.00,1,($50.00),-0.18%,$820.00,73.21%,,$0.00,$0.00,
,Sell,9/21/2020 13:30,Short,@CC,$2827,,($50.00),$7830.00,,($300.00),22.32%,-4.46%,$0.00,$0.00,
35,Sell Short,9/21/2020 13:30,Short,@CC,$2827,$0.00,1,$2000.00,7.07%,$2000.00,87.34%,,$0.00,$0.00,
,Buy to Cover,10/6/2020 10:43,Profit Target,@CC,$2627,,$2000.00,$9830.00,,($290.00),100.00%,87.34%,$0.00,$0.00,
36,Buy,10/8/2020 10:43,Buy,@CC,$2672,$0.00,1,($1000.00),-3.74%,$270.00,21.26%,,$0.00,$0.00,
,Sell,10/14/2020 10:43,Stop Loss,@CC,$2572,,($1000.00),$8830.00,,($1000.00),0.00%,-78.74%,$0.00,$0.00,
37,Sell Short,11/30/2020 10:43,Short,@CC,$2962,$0.00,1,$2000.00,6.75%,$2000.00,96.15%,,$0.00,$0.00,
,Buy to Cover,12/8/2020 10:43,Profit Target,@CC,$2762,,$2000.00,$10830.00,,($80.00),100.00%,96.15%,$0.00,$0.00,
38,Sell Short,12/18/2020 13:30,Short,@CC,$2718,$0.00,1,($630.00),-2.32%,$770.00,55.00%,,$0.00,$0.00,
,Buy to Cover,12/22/2020 10:43,Buy,@CC,$2781,,($630.00),$10200.00,,($630.00),0.00%,-45.00%,$0.00,$0.00,
39,Buy,12/22/2020 10:43,Buy,@CC,$2781,$0.00,1,($1000.00),-3.60%,$820.00,45.05%,,$0.00,$0.00,
,Sell,1/6/2021 10:43,Stop Loss,@CC,$2681,,($1000.00),$9200.00,,($1000.00),0.00%,-54.95%,$0.00,$0.00,
40,Buy,2/10/2021 13:30,Buy,@CC,$2806,$0.00,1,($1000.00),-3.56%,$480.00,32.43%,,$0.00,$0.00,
,Sell,2/17/2021 13:30,Stop Loss,@CC,$2706,,($1000.00),$8200.00,,($1000.00),0.00%,-67.57%,$0.00,$0.00,
41,Sell Short,3/4/2021 10:43,Short,@CC,$2970,$0.00,1,$2000.00,6.73%,$2000.00,98.04%,,$0.00,$0.00,
,Buy to Cover,3/24/2021 10:43,Profit Target,@CC,$2770,,$2000.00,$10200.00,,($40.00),100.00%,98.04%,$0.00,$0.00,
42,Buy,4/6/2021 13:30,Buy,@CC,$2736,$0.00,1,$70.00,0.26%,$720.00,51.06%,,$0.00,$0.00,
,Sell,4/20/2021 13:30,Short,@CC,$2743,,$70.00,$10270.00,,($690.00),53.90%,4.96%,$0.00,$0.00,
43,Sell Short,4/20/2021 13:30,Short,@CC,$2743,$0.00,1,($680.00),-2.48%,$1210.00,55.00%,,$0.00,$0.00,
,Buy to Cover,5/12/2021 13:30,Buy,@CC,$2811,,($680.00),$9590.00,,($990.00),14.09%,-30.91%,$0.00,$0.00,
44,Buy,5/12/2021 13:30,Buy,@CC,$2811,$0.00,1,($1000.00),-3.56%,$460.00,31.51%,,$0.00,$0.00,
,Sell,5/24/2021 13:30,Stop Loss,@CC,$2711,,($1000.00),$8590.00,,($1000.00),0.00%,-68.49%,$0.00,$0.00,
45,Buy,6/17/2021 10:43,Buy,@CC,$2672,$0.00,1,($1000.00),-3.74%,$40.00,3.85%,,$0.00,$0.00,
,Sell,7/6/2021 10:43,Stop Loss,@CC,$2572,,($1000.00),$7590.00,,($1000.00),0.00%,-96.15%,$0.00,$0.00,
46,Sell Short,7/22/2021 10:43,Short,@CC,$2527,$0.00,1,($1000.00),-3.96%,$90.00,8.26%,,$0.00,$0.00,
,Buy to Cover,7/26/2021 10:43,Stop Loss,@CC,$2627,,($1000.00),$6590.00,,($1000.00),0.00%,-91.74%,$0.00,$0.00,
47,Sell Short,8/19/2021 13:30,Short,@CC,$2832,$0.00,1,$270.00,0.95%,$1100.00,91.67%,,$0.00,$0.00,
,Buy to Cover,9/2/2021 13:30,Buy,@CC,$2805,,$270.00,$6860.00,,($100.00),30.83%,22.50%,$0.00,$0.00,
48,Buy,9/2/2021 13:30,Buy,@CC,$2805,$0.00,1,$920.00,3.28%,$1920.00,75.29%,,$0.00,$0.00,
,Sell,10/11/2021 13:30,Short,@CC,$2897,,$920.00,$7780.00,,($630.00),60.78%,36.08%,$0.00,$0.00,
49,Sell Short,10/11/2021 13:30,Short,@CC,$2897,$0.00,1,$2000.00,6.90%,$2000.00,91.32%,,$0.00,$0.00,
,Buy to Cover,11/2/2021 10:43,Profit Target,@CC,$2697,,$2000.00,$9780.00,,($190.00),100.00%,91.32%,$0.00,$0.00,
50,Buy,11/10/2021 10:43,Buy,@CC,$2633,$0.00,1,($1000.00),-3.80%,$1270.00,55.95%,,$0.00,$0.00,
,Sell,11/29/2021 13:30,Stop Loss,@CC,$2533,,($1000.00),$8780.00,,($1000.00),0.00%,-44.05%,$0.00,$0.00,
51,Buy,12/2/2021 13:30,Buy,@CC,$2598,$0.00,1,$330.00,1.27%,$1270.00,84.11%,,$0.00,$0.00,
,Sell,12/23/2021 10:43,Short,@CC,$2631,,$330.00,$9110.00,,($240.00),37.75%,21.85%,$0.00,$0.00,
52,Sell Short,12/23/2021 10:43,Short,@CC,$2631,$0.00,1,($1000.00),-3.80%,$400.00,28.57%,,$0.00,$0.00,
,Buy to Cover,12/30/2021 10:43,Stop Loss,@CC,$2731,,($1000.00),$8110.00,,($1000.00),0.00%,-71.43%,$0.00,$0.00,
53,Sell Short,1/21/2022 10:43,Short,@CC,$2785,$0.00,1,($250.00),-0.90%,$1880.00,78.66%,,$0.00,$0.00,
,Buy to Cover,2/8/2022 13:30,Buy,@CC,$2810,,($250.00),$7860.00,,($510.00),10.88%,-10.46%,$0.00,$0.00,
54,Buy,2/8/2022 13:30,Buy,@CC,$2810,$0.00,1,($1000.00),-3.56%,$1300.00,56.52%,,$0.00,$0.00,
,Sell,2/24/2022 10:43,Stop Loss,@CC,$2710,,($1000.00),$6860.00,,($1000.00),0.00%,-43.48%,$0.00,$0.00,
55,Sell Short,2/24/2022 13:30,Short,@CC,$2700,$0.00,1,($1000.00),-3.70%,$1270.00,55.95%,,$0.00,$0.00,
,Buy to Cover,3/10/2022 10:43,Stop Loss,@CC,$2800,,($1000.00),$5860.00,,($1000.00),0.00%,-44.05%,$0.00,$0.00,
56,Buy,3/25/2022 13:30,Buy,@CC,$2682,$0.00,1,$270.00,1.01%,$990.00,76.15%,,$0.00,$0.00,
,Sell,4/1/2022 13:30,Short,@CC,$2709,,$270.00,$6130.00,,($310.00),44.62%,20.77%,$0.00,$0.00,
57,Sell Short,4/1/2022 13:30,Short,@CC,$2709,$0.00,1,$2000.00,7.38%,$2000.00,81.63%,,$0.00,$0.00,
,Buy to Cover,5/6/2022 10:43,Profit Target,@CC,$2509,,$2000.00,$8130.00,,($450.00),100.00%,81.63%,$0.00,$0.00,
58,Buy,5/13/2022 13:30,Buy,@CC,$2516,$0.00,1,($1000.00),-3.97%,$730.00,42.20%,,$0.00,$0.00,
,Sell,6/13/2022 10:43,Stop Loss,@CC,$2416,,($1000.00),$7130.00,,($1000.00),0.00%,-57.80%,$0.00,$0.00,
59,Buy,7/11/2022 13:30,Buy,@CC,$2386,$0.00,1,($1000.00),-4.19%,$60.00,5.66%,,$0.00,$0.00,
,Sell,7/14/2022 10:43,Stop Loss,@CC,$2286,,($1000.00),$6130.00,,($1000.00),0.00%,-94.34%,$0.00,$0.00,
60,Buy,7/25/2022 13:30,Buy,@CC,$2372,$0.00,1,($1000.00),-4.22%,$500.00,33.33%,,$0.00,$0.00,
,Sell,8/4/2022 10:43,Stop Loss,@CC,$2272,,($1000.00),$5130.00,,($1000.00),0.00%,-66.67%,$0.00,$0.00,
61,Buy,9/15/2022 13:30,Buy,@CC,$2338,$0.00,1,($1000.00),-4.28%,$290.00,22.48%,,$0.00,$0.00,
,Sell,9/23/2022 10:43,Stop Loss,@CC,$2238,,($1000.00),$4130.00,,($1000.00),0.00%,-77.52%,$0.00,$0.00,
62,Sell Short,11/11/2022 13:30,Short,@CC,$2505,$0.00,1,($1000.00),-3.99%,$1010.00,50.25%,,$0.00,$0.00,
,Buy to Cover,12/22/2022 13:30,Stop Loss,@CC,$2605,,($1000.00),$3130.00,,($1000.00),0.00%,-49.75%,$0.00,$0.00,
63,Sell Short,1/5/2023 10:43,Short,@CC,$2592,$0.00,1,($140.00),-0.54%,$1000.00,52.08%,,$0.00,$0.00,
,Buy to Cover,1/26/2023 13:30,Buy,@CC,$2606,,($140.00),$2990.00,,($920.00),40.63%,-7.29%,$0.00,$0.00,
64,Buy,1/26/2023 13:30,Buy,@CC,$2606,$0.00,1,$2000.00,7.67%,$2000.00,71.17%,,$0.00,$0.00,
,Sell,3/1/2023 10:43,Profit Target,@CC,$2806,,$2000.00,$4990.00,,($810.00),100.00%,71.17%,$0.00,$0.00,
65,Sell Short,3/31/2023 13:30,Short,@CC,$2873,$0.00,1,($1000.00),-3.48%,$710.00,41.52%,,$0.00,$0.00,
,Buy to Cover,4/18/2023 13:30,Stop Loss,@CC,$2973,,($1000.00),$3990.00,,($1000.00),0.00%,-58.48%,$0.00,$0.00,
66,Sell Short,4/24/2023 13:30,Short,@CC,$2964,,1,n/a,n/a,$1070.00,n/a,,$0.00,$0.00,
,Buy to Cover,Open,n/a,n/a,$2977.00,,n/a,n/a,,($850.00),n/a,n/a,n/a,n/a,


Annual

,,,,,,
TradeStation Periodical Returns: Annual,,,,,,
,,,,,,
Mark-To-Market Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
Last 12 Months,($4270.00),-3.95%,0.32,9,11.11%,
1/1/2023,$730.00,0.71%,1.57,4,25.00%,
1/1/2022,($4980.00),-4.61%,0.31,10,20.00%,
1/1/2021,($2270.00),-2.06%,0.71,14,42.86%,
1/1/2020,$6500.00,6.26%,2.02,18,55.56%,
1/1/2019,($2550.00),-2.40%,0.66,14,35.71%,
1/1/2018,$6430.00,6.43%,3.99,8,62.50%,
,,,,,,
Mark-To-Market Rolling Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
1/1/2023 - Today,$730.00,0.71%,1.57,4,25.00%,
1/1/2022 - 1/1/2023,($4250.00),-3.93%,0.50,14,21.43%,
1/1/2021 - 1/1/2023,($6520.00),-5.91%,0.60,28,32.14%,
1/1/2020 - 1/1/2023,($20.00),-0.02%,1.00,45,40.00%,
1/1/2019 - 1/1/2023,($2570.00),-2.41%,0.91,58,37.93%,
1/1/2018 - 1/1/2023,$3860.00,3.86%,1.12,66,40.91%,


Daily

,,,,,,
TradeStation Periodical Returns: Daily,,,,,,
,,,,,,
Mark-To-Market Period Analysis:,,,,,,
Period,Net Profit,% Gain,Profit Factor,# Trades,% Profitable,
5/12/2023,$290.00,0.28%,n/a,1,100.00%,
5/11/2023,$250.00,0.24%,n/a,1,100.00%,
5/10/2023,($290.00),-0.28%,0.00,1,0.00%,
5/9/2023,($420.00),-0.40%,0.00,1,0.00%,
5/8/2023,($200.00),-0.19%,0.00,1,0.00%,
5/7/2023,$0.00,0.00%,n/a,1,0.00%,
5/6/2023,$0.00,0.00%,n/a,1,0.00%,
5/5/2023,($230.00),-0.22%,0.00,1,0.00%,
5/4/2023,($500.00),-0.48%,0.00,1,0.00%,
5/3/2023,$210.00,0.20%,n/a,1,100.00%,
5/2/2023,$410.00,0.39%,n/a,1,100.00%,
5/1/2023,$70.00,0.07%,n/a,1,100.00%,
4/30/2023,$0.00,0.00%,n/a,1,0.00%,
4/29/2023,$0.00,0.00%,n/a,1,0.00%,
4/28/2023,($120.00),-0.11%,0.00,1,0.00%,
4/27/2023,$250.00,0.24%,n/a,1,100.00%,
4/26/2023,($300.00),-0.29%,0.00,1,0.00%,
4/25/2023,$590.00,0.57%,n/a,1,100.00%,
4/24/2023,($140.00),-0.13%,0.00,1,0.00%,
4/18/2023,($560.00),-0.54%,0.00,1,0.00%,
4/17/2023,($280.00),-0.27%,0.00,1,0.00%,
4/16/2023,$0.00,0.00%,n/a,1,0.00%,
4/15/2023,$0.00,0.00%,n/a,1,0.00%,
4/14/2023,$300.00,0.29%,n/a,1,100.00%,
4/13/2023,($520.00),-0.50%,0.00,1,0.00%,
4/12/2023,$260.00,0.25%,n/a,1,100.00%,
4/11/2023,($390.00),-0.37%,0.00,1,0.00%,
4/10/2023,$70.00,0.07%,n/a,1,100.00%,
4/9/2023,$0.00,0.00%,n/a,1,0.00%,
4/8/2023,$0.00,0.00%,n/a,1,0.00%,
4/7/2023,$0.00,0.00%,n/a,1,0.00%,
4/6/2023,($50.00),-0.05%,0.00,1,0.00%,
4/5/2023,$80.00,0.08%,n/a,1,100.00%,
4/4/2023,($540.00),-0.51%,0.00,1,0.00%,
4/3/2023,$720.00,0.69%,n/a,1,100.00%,
4/2/2023,$0.00,0.00%,n/a,1,0.00%,
4/1/2023,$0.00,0.00%,n/a,1,0.00%,
3/31/2023,($90.00),-0.09%,0.00,1,0.00%,
3/1/2023,$560.00,0.54%,n/a,1,100.00%,
2/28/2023,$450.00,0.43%,n/a,1,100.00%,
2/27/2023,$110.00,0.11%,n/a,1,100.00%,
2/26/2023,$0.00,0.00%,n/a,1,0.00%,
2/25/2023,$0.00,0.00%,n/a,1,0.00%,
2/24/2023,($320.00),-0.31%,0.00,1,0.00%,
2/23/2023,$0.00,0.00%,n/a,1,0.00%,
2/22/2023,($190.00),-0.18%,0.00,1,0.00%,
2/21/2023,$160.00,0.15%,n/a,1,100.00%,
2/20/2023,$0.00,0.00%,n/a,1,0.00%,
2/19/2023,$0.00,0.00%,n/a,1,0.00%,
2/18/2023,$0.00,0.00%,n/a,1,0.00%,
2/17/2023,($20.00),-0.02%,0.00,1,0.00%,
2/16/2023,$460.00,0.44%,n/a,1,100.00%,
2/15/2023,$380.00,0.37%,n/a,1,100.00%,
2/14/2023,$330.00,0.32%,n/a,1,100.00%,
2/13/2023,$410.00,0.40%,n/a,1,100.00%,
2/12/2023,$0.00,0.00%,n/a,1,0.00%,
2/11/2023,$0.00,0.00%,n/a,1,0.00%,
2/10/2023,$80.00,0.08%,n/a,1,100.00%,
2/9/2023,$70.00,0.07%,n/a,1,100.00%,
2/8/2023,($90.00),-0.09%,0.00,1,0.00%,
2/7/2023,$10.00,0.01%,n/a,1,100.00%,
2/6/2023,$200.00,0.20%,n/a,1,100.00%,
2/5/2023,$0.00,0.00%,n/a,1,0.00%,
2/4/2023,$0.00,0.00%,n/a,1,0.00%,
2/3/2023,($240.00),-0.23%,0.00,1,0.00%,
2/2/2023,$100.00,0.10%,n/a,1,100.00%,
2/1/2023,($20.00),-0.02%,0.00,1,0.00%,
1/31/2023,($410.00),-0.40%,0.00,1,0.00%,
1/30/2023,($10.00),-0.01%,0.00,1,0.00%,
1/29/2023,$0.00,0.00%,n/a,1,0.00%,
1/28/2023,$0.00,0.00%,n/a,1,0.00%,
1/27/2023,($80.00),-0.08%,0.00,1,0.00%,
1/26/2023,($320.00),-0.31%,0.16,2,50.00%,
1/25/2023,$110.00,0.11%,n/a,1,100.00%,
1/24/2023,$100.00,0.10%,n/a,1,100.00%,
1/23/2023,($310.00),-0.30%,0.00,1,0.00%,
1/22/2023,$0.00,0.00%,n/a,1,0.00%,
1/21/2023,$0.00,0.00%,n/a,1,0.00%,
1/20/2023,($80.00),-0.08%,0.00,1,0.00%,
1/19/2023,$550.00,0.53%,n/a,1,100.00%,
1/18/2023,$260.00,0.25%,n/a,1,100.00%,
1/17/2023,$90.00,0.09%,n/a,1,100.00%,
1/16/2023,$0.00,0.00%,n/a,1,0.00%,
1/15/2023,$0.00,0.00%,n/a,1,0.00%,
1/14/2023,$0.00,0.00%,n/a,1,0.00%,
1/13/2023,($110.00),-0.11%,0.00,1,0.00%,
1/12/2023,($90.00),-0.09%,0.00,1,0.00%,
1/11/2023,($290.00),-0.28%,0.00,1,0.00%,
1/10/2023,$800.00,0.78%,n/a,1,100.00%,
1/9/2023,($810.00),-0.79%,0.00,1,0.00%,
1/8/2023,$0.00,0.00%,n/a,1,0.00%,
1/7/2023,$0.00,0.00%,n/a,1,0.00%,
1/6/2023,$160.00,0.16%,n/a,1,100.00%,
1/5/2023,($140.00),-0.14%,0.00,1,0.00%,
12/22/2022,($860.00),-0.83%,0.00,1,0.00%,
12/21/2022,($390.00),-0.37%,0.00,1,0.00%,
12/20/2022,$10.00,0.01%,n/a,1,100.00%,
12/19/2022,($260.00),-0.25%,0.00,1,0.00%,
12/18/2022,$0.00,0.00%,n/a,1,0.00%,
12/17/2022,$0.00,0.00%,n/a,1,0.00%,
12/16/2022,$500.00,0.48%,n/a,1,100.00%,
12/15/2022,$140.00,0.13%,n/a,1,100.00%,
12/14/2022,($90.00),-0.09%,0.00,1,0.00%,
12/13/2022,($190.00),-0.18%,0.00,1,0.00%,
12/12/2022,($20.00),-0.02%,0.00,1,0.00%,
12/11/2022,$0.00,0.00%,n/a,1,0.00%,
12/10/2022,$0.00,0.00%,n/a,1,0.00%,
12/9/2022,$440.00,0.42%,n/a,1,100.00%,
12/8/2022,($460.00),-0.44%,0.00,1,0.00%,
12/7/2022,($140.00),-0.13%,0.00,1,0.00%,
12/6/2022,($150.00),-0.14%,0.00,1,0.00%,
12/5/2022,$650.00,0.63%,n/a,1,100.00%,
12/4/2022,$0.00,0.00%,n/a,1,0.00%,
12/3/2022,$0.00,0.00%,n/a,1,0.00%,
12/2/2022,($80.00),-0.08%,0.00,1,0.00%,
12/1/2022,($330.00),-0.32%,0.00,1,0.00%,
11/30/2022,($300.00),-0.29%,0.00,1,0.00%,
11/29/2022,$150.00,0.14%,n/a,1,100.00%,
11/28/2022,($110.00),-0.11%,0.00,1,0.00%,
11/27/2022,$0.00,0.00%,n/a,1,0.00%,
11/26/2022,$0.00,0.00%,n/a,1,0.00%,
11/25/2022,($370.00),-0.35%,0.00,1,0.00%,
11/24/2022,$0.00,0.00%,n/a,1,0.00%,
11/23/2022,$30.00,0.03%,n/a,1,100.00%,
11/22/2022,$100.00,0.10%,n/a,1,100.00%,
11/21/2022,$150.00,0.14%,n/a,1,100.00%,
11/20/2022,$0.00,0.00%,n/a,1,0.00%,
11/19/2022,$0.00,0.00%,n/a,1,0.00%,
11/18/2022,($130.00),-0.12%,0.00,1,0.00%,
11/17/2022,$580.00,0.56%,n/a,1,100.00%,
11/16/2022,($70.00),-0.07%,0.00,1,0.00%,
11/15/2022,($50.00),-0.05%,0.00,1,0.00%,
11/14/2022,$230.00,0.22%,n/a,1,100.00%,
11/13/2022,$0.00,0.00%,n/a,1,0.00%,
11/12/2022,$0.00,0.00%,n/a,1,0.00%,
11/11/2022,$20.00,0.02%,n/a,1,100.00%,
9/23/2022,($530.00),-0.51%,0.00,1,0.00%,
9/22/2022,($210.00),-0.20%,0.00,1,0.00%,
9/21/2022,($40.00),-0.04%,0.00,1,0.00%,
9/20/2022,($240.00),-0.23%,0.00,1,0.00%,
9/19/2022,$150.00,0.14%,n/a,1,100.00%,
9/18/2022,$0.00,0.00%,n/a,1,0.00%,
9/17/2022,$0.00,0.00%,n/a,1,0.00%,
9/16/2022,($110.00),-0.10%,0.00,1,0.00%,
9/15/2022,($20.00),-0.02%,0.00,1,0.00%,
8/4/2022,($100.00),-0.10%,0.00,1,0.00%,
8/3/2022,($550.00),-0.52%,0.00,1,0.00%,
8/2/2022,($130.00),-0.12%,0.00,1,0.00%,
8/1/2022,$100.00,0.09%,n/a,1,100.00%,
7/31/2022,$0.00,0.00%,n/a,1,0.00%,
7/30/2022,$0.00,0.00%,n/a,1,0.00%,
7/29/2022,$90.00,0.09%,n/a,1,100.00%,
7/28/2022,($300.00),-0.28%,0.00,1,0.00%,
7/27/2022,($490.00),-0.46%,0.00,1,0.00%,
7/26/2022,$260.00,0.24%,n/a,1,100.00%,
7/25/2022,$120.00,0.11%,n/a,1,100.00%,
7/14/2022,($290.00),-0.27%,0.00,1,0.00%,
7/13/2022,($480.00),-0.45%,0.00,1,0.00%,
7/12/2022,($240.00),-0.22%,0.00,1,0.00%,
7/11/2022,$10.00,0.01%,n/a,1,100.00%,
6/13/2022,($220.00),-0.20%,0.00,1,0.00%,
6/12/2022,$0.00,0.00%,n/a,1,0.00%,
6/11/2022,$0.00,0.00%,n/a,1,0.00%,
6/10/2022,($440.00),-0.41%,0.00,1,0.00%,
6/9/2022,($110.00),-0.10%,0.00,1,0.00%,
6/8/2022,($240.00),-0.22%,0.00,1,0.00%,
6/7/2022,($200.00),-0.18%,0.00,1,0.00%,
6/6/2022,$240.00,0.22%,n/a,1,100.00%,
6/5/2022,$0.00,0.00%,n/a,1,0.00%,
6/4/2022,$0.00,0.00%,n/a,1,0.00%,
6/3/2022,($310.00),-0.29%,0.00,1,0.00%,
6/2/2022,($340.00),-0.31%,0.00,1,0.00%,
6/1/2022,$310.00,0.29%,n/a,1,100.00%,
5/31/2022,$340.00,0.31%,n/a,1,100.00%,
5/30/2022,$0.00,0.00%,n/a,1,0.00%,
5/29/2022,$0.00,0.00%,n/a,1,0.00%,
5/28/2022,$0.00,0.00%,n/a,1,0.00%,
5/27/2022,($20.00),-0.02%,0.00,1,0.00%,
5/26/2022,$740.00,0.69%,n/a,1,100.00%,
5/25/2022,($400.00),-0.37%,0.00,1,0.00%,
5/24/2022,($50.00),-0.05%,0.00,1,0.00%,
5/23/2022,$270.00,0.25%,n/a,1,100.00%,
5/22/2022,$0.00,0.00%,n/a,1,0.00%,
5/21/2022,$0.00,0.00%,n/a,1,0.00%,
5/20/2022,($530.00),-0.49%,0.00,1,0.00%,
5/19/2022,($20.00),-0.02%,0.00,1,0.00%,
5/18/2022,($490.00),-0.45%,0.00,1,0.00%,
5/17/2022,$160.00,0.15%,n/a,1,100.00%,
5/16/2022,$270.00,0.25%,n/a,1,100.00%,
5/15/2022,$0.00,0.00%,n/a,1,0.00%,
5/14/2022,$0.00,0.00%,n/a,1,0.00%,
