Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
,Sell,7/14/2020,Stop Loss,$3142.00,,($1500.00),$56890.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50,
58,Buy,7/16/2020,LE,$3220.75,$0.00,1,$4970.00,3.10%,$5000.00,92.38%,,$2.50,$12.50,
,Sell,08/04/2020,Profit Target,$3320.75,,$5000.00,$61860.00,,($412.50),100.00%,92.38%,$2.50,$12.50,
59,Buy,9/29/2020,LE,$3362.50,$0.00,1,$707.50,0.44%,$2700.00,58.22%,,$2.50,$12.50,
,Sell,9/30/2020,Sell,$3377.25,,$737.50,$62567.50,,($1937.50),57.68%,15.90%,$2.50,$12.50,
60,Buy,11/22/2020,LE,$3579.00,$0.00,1,$4420.00,2.49%,$4675.00,98.94%,,$2.50,$12.50,
,Sell,11/24/2020,Sell,$3668.00,,$4450.00,$66987.50,,($50.00),95.24%,94.18%,$2.50,$12.50,
61,Buy,11/30/2020,LE,$3663.50,$0.00,1,$1482.50,0.83%,$2325.00,90.29%,,$2.50,$12.50,
,Sell,12/01/2020,Sell,$3693.75,,$1512.50,$68470.00,,($250.00),68.45%,58.74%,$2.50,$12.50,
62,Buy,12/13/2020,LE,$3710.75,$0.00,1,$957.50,0.53%,$1075.00,38.91%,,$2.50,$12.50,
,Sell,12/15/2020,Sell,$3730.50,,$987.50,$69427.50,,($1687.50),96.83%,35.75%,$2.50,$12.50,
63,Buy,4/14/2021,LE,$4174.00,$0.00,1,($2530.00),-1.20%,$5737.50,69.65%,,$2.50,$12.50,
,Sell,05/12/2021,Stop Loss,$4124.00,,($2500.00),$66897.50,,($2500.00),0.00%,-30.35%,$2.50,$12.50,
64,Buy,06/01/2021,LE,$4249.00,$0.00,1,($2530.00),-1.18%,$3462.50,58.07%,,$2.50,$12.50,
,Sell,6/20/2021,Stop Loss,$4199.00,,($2500.00),$64367.50,,($2500.00),0.00%,-41.93%,$2.50,$12.50,
65,Buy,07/08/2021,LE,$4370.25,$0.00,1,($2530.00),-1.14%,$3712.50,59.76%,,$2.50,$12.50,
,Sell,7/19/2021,Stop Loss,$4320.25,,($2500.00),$61837.50,,($2500.00),0.00%,-40.24%,$2.50,$12.50,
66,Buy,7/27/2021,LE,$4440.00,$0.00,1,$2432.50,1.11%,$2912.50,79.79%,,$2.50,$12.50,
,Sell,08/10/2021,Sell,$4489.25,,$2462.50,$64270.00,,($737.50),87.67%,67.47%,$2.50,$12.50,
67,Buy,8/17/2021,LE,$4496.75,$0.00,1,($2530.00),-1.11%,$650.00,20.63%,,$2.50,$12.50,
,Sell,8/18/2021,Stop Loss,$4446.75,,($2500.00),$61740.00,,($2500.00),0.00%,-79.37%,$2.50,$12.50,
68,Buy,8/18/2021,LE,$4449.75,$0.00,1,$5170.00,2.34%,$5412.50,72.05%,,$2.50,$12.50,
,Sell,8/25/2021,Sell,$4553.75,,$5200.00,$66910.00,,($2100.00),97.17%,69.22%,$2.50,$12.50,
69,Buy,09/01/2021,LE,$4582.50,$0.00,1,$495.00,0.23%,$1350.00,80.60%,,$2.50,$12.50,
,Sell,09/05/2021,Sell,$4593.00,,$525.00,$67405.00,,($325.00),50.75%,31.34%,$2.50,$12.50,
