Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
70,Buy,09/09/2021,LE,$4551.25,$0.00,1,($2530.00),-1.10%,$1362.50,35.28%,,$2.50,$12.50,
,Sell,9/14/2021,Stop Loss,$4501.25,,($2500.00),$64875.00,,($2500.00),0.00%,-64.72%,$2.50,$12.50,
71,Buy,9/14/2021,LE,$4506.25,$0.00,1,($2530.00),-1.11%,$2075.00,45.36%,,$2.50,$12.50,
,Sell,9/19/2021,Stop Loss,$4456.25,,($2500.00),$62345.00,,($2500.00),0.00%,-54.64%,$2.50,$12.50,
72,Buy,9/21/2021,LE,$4405.75,$0.00,1,$5095.00,2.33%,$5925.00,88.60%,,$2.50,$12.50,
,Sell,9/23/2021,Sell,$4508.25,,$5125.00,$67440.00,,($762.50),88.04%,76.64%,$2.50,$12.50,
73,Buy,10/27/2021,LE,$4618.00,$0.00,1,$6970.00,3.03%,$7000.00,97.56%,,$2.50,$12.50,
,Sell,11/05/2021,Profit Target,$4758.00,,$7000.00,$74410.00,,($175.00),100.00%,97.56%,$2.50,$12.50,
74,Buy,11/09/2021,LE,$4744.00,$0.00,1,$545.00,0.24%,$3287.50,57.05%,,$2.50,$12.50,
,Sell,11/23/2021,Sell,$4755.50,,$575.00,$74955.00,,($2475.00),52.93%,9.98%,$2.50,$12.50,
75,Buy,11/30/2021,LE,$4656.75,$0.00,1,($2530.00),-1.07%,$3162.50,55.85%,,$2.50,$12.50,
,Sell,12/01/2021,Stop Loss,$4606.75,,($2500.00),$72425.00,,($2500.00),0.00%,-44.15%,$2.50,$12.50,
76,Buy,12/09/2021,LE,$4738.25,$0.00,1,($2530.00),-1.06%,$3050.00,54.95%,,$2.50,$12.50,
,Sell,12/14/2021,Stop Loss,$4688.25,,($2500.00),$69895.00,,($2500.00),0.00%,-45.05%,$2.50,$12.50,
77,Buy,12/14/2021,LE,$4705.00,$0.00,1,($2530.00),-1.06%,$5712.50,69.56%,,$2.50,$12.50,
,Sell,12/19/2021,Stop Loss,$4655.00,,($2500.00),$67365.00,,($2500.00),0.00%,-30.44%,$2.50,$12.50,
78,Buy,12/20/2021,LE,$4643.75,$0.00,1,$3670.00,1.59%,$3762.50,97.41%,,$2.50,$12.50,
,Sell,12/21/2021,Sell,$4717.75,,$3700.00,$71035.00,,($100.00),98.38%,95.79%,$2.50,$12.50,
79,Buy,03/01/2022,LE,$4384.75,$0.00,1,($2530.00),-1.14%,$5500.00,68.75%,,$2.50,$12.50,
,Sell,03/06/2022,Stop Loss,$4334.75,,($2500.00),$68505.00,,($2500.00),0.00%,-31.25%,$2.50,$12.50,
80,Buy,5/24/2022,LE,$4034.50,$0.00,1,$6970.00,3.47%,$7000.00,79.32%,,$2.50,$12.50,
,Sell,5/27/2022,Profit Target,$4174.50,,$7000.00,$75475.00,,($1825.00),100.00%,79.32%,$2.50,$12.50,
81,Buy,5/31/2022,LE,$4223.00,$0.00,1,($2530.00),-1.18%,$1325.00,34.64%,,$2.50,$12.50,
,Sell,06/01/2022,Stop Loss,$4173.00,,($2500.00),$72945.00,,($2500.00),0.00%,-65.36%,$2.50,$12.50,
82,Buy,6/30/2022,LE,$3864.50,$0.00,1,($2530.00),-1.29%,$7000.00,73.68%,,$2.50,$12.50,
,Sell,7/14/2022,Stop Loss,$3814.50,,($2500.00),$70415.00,,($2500.00),0.00%,-26.32%,$2.50,$12.50,
83,Buy,7/14/2022,LE,$3880.25,$0.00,1,$6970.00,3.61%,$7000.00,88.89%,,$2.50,$12.50,
,Sell,7/19/2022,Profit Target,$4020.25,,$7000.00,$77385.00,,($875.00),100.00%,88.89%,$2.50,$12.50,
84,Buy,7/24/2022,LE,$4050.25,$0.00,1,($2530.00),-1.23%,$1050.00,29.58%,,$2.50,$12.50,
,Sell,7/26/2022,Stop Loss,$4000.25,,($2500.00),$74855.00,,($2500.00),0.00%,-70.42%,$2.50,$12.50,
85,Buy,7/26/2022,LE,$4021.75,$0.00,1,$6970.00,3.48%,$7000.00,99.64%,,$2.50,$12.50,
,Sell,7/28/2022,Profit Target,$4161.75,,$7000.00,$81825.00,,($25.00),100.00%,99.64%,$2.50,$12.50,
86,Buy,08/01/2022,LE,$4202.25,$0.00,1,$6970.00,3.33%,$7000.00,78.10%,,$2.50,$12.50,
,Sell,08/11/2022,Profit Target,$4342.25,,$7000.00,$88795.00,,($1962.50),100.00%,78.10%,$2.50,$12.50,
87,Buy,11/14/2022,LE,$4040.50,$0.00,1,($2530.00),-1.24%,$3800.00,60.32%,,$2.50,$12.50,
,Sell,11/17/2022,Stop Loss,$3990.50,,($2500.00),$86265.00,,($2500.00),0.00%,-39.68%,$2.50,$12.50,
88,Buy,11/17/2022,LE,$4026.25,$0.00,1,$6970.00,3.48%,$7000.00,85.89%,,$2.50,$12.50,
,Sell,12/01/2022,Profit Target,$4166.25,,$7000.00,$93235.00,,($1150.00),100.00%,85.89%,$2.50,$12.50,
89,Buy,12/04/2022,LE,$4139.75,$0.00,1,($2530.00),-1.21%,$87.50,3.38%,,$2.50,$12.50,
,Sell,12/05/2022,Stop Loss,$4089.75,,($2500.00),$90705.00,,($2500.00),0.00%,-96.62%,$2.50,$12.50,
90,Buy,12/05/2022,LE,$4071.50,$0.00,1,($2530.00),-1.23%,$450.00,15.25%,,$2.50,$12.50,
,Sell,12/06/2022,Stop Loss,$4021.50,,($2500.00),$88175.00,,($2500.00),0.00%,-84.75%,$2.50,$12.50,
91,Buy,12/06/2022,LE,$4010.50,$0.00,1,$6970.00,3.49%,$7000.00,81.99%,,$2.50,$12.50,
,Sell,12/13/2022,Profit Target,$4150.50,,$7000.00,$95145.00,,($1537.50),100.00%,81.99%,$2.50,$12.50,
92,Buy,12/14/2022,LE,$4071.75,$0.00,1,($2530.00),-1.23%,$300.00,10.71%,,$2.50,$12.50,
,Sell,12/15/2022,Stop Loss,$4021.75,,($2500.00),$92615.00,,($2500.00),0.00%,-89.29%,$2.50,$12.50,
93,Buy,12/15/2022,LE,$3956.50,$0.00,1,($2530.00),-1.26%,$637.50,20.32%,,$2.50,$12.50,
,Sell,12/16/2022,Stop Loss,$3906.50,,($2500.00),$90085.00,,($2500.00),0.00%,-79.68%,$2.50,$12.50,
94,Buy,12/18/2022,LE,$3908.75,$0.00,1,($2530.00),-1.28%,$1250.00,33.33%,,$2.50,$12.50,
,Sell,12/19/2022,Stop Loss,$3858.75,,($2500.00),$87555.00,,($2500.00),0.00%,-66.67%,$2.50,$12.50,
95,Buy,12/22/2022,LE,$3884.75,$0.00,1,$1370.00,0.72%,$1400.00,49.34%,,$2.50,$12.50,
,Sell,12/26/2022,Sell,$3912.75,,$1400.00,$88925.00,,($1437.50),100.00%,49.34%,$2.50,$12.50,
96,Buy,01/09/2023,LE,$3949.25,$0.00,1,$1295.00,0.67%,$1462.50,55.98%,,$2.50,$12.50,
,Sell,01/10/2023,Sell,$3975.75,,$1325.00,$90220.00,,($1150.00),94.74%,50.72%,$2.50,$12.50,
97,Buy,1/17/2023,LE,$4043.25,$0.00,1,($2530.00),-1.24%,$1250.00,33.33%,,$2.50,$12.50,
,Sell,1/18/2023,Stop Loss,$3993.25,,($2500.00),$87690.00,,($2500.00),0.00%,-66.67%,$2.50,$12.50,
98,Buy,1/18/2023,LE,$3980.00,$0.00,1,$6970.00,3.52%,$7000.00,76.29%,,$2.50,$12.50,
,Sell,1/27/2023,Profit Target,$4120.00,,$7000.00,$94660.00,,($2175.00),100.00%,76.29%,$2.50,$12.50,
99,Buy,1/30/2023,LE,$4074.00,$0.00,1,$6970.00,3.44%,$7000.00,81.51%,,$2.50,$12.50,
,Sell,02/02/2023,Profit Target,$4214.00,,$7000.00,$101630.00,,($1587.50),100.00%,81.51%,$2.50,$12.50,
100,Buy,02/05/2023,LE,$4169.00,$0.00,1,$1620.00,0.79%,$2700.00,60.00%,,$2.50,$12.50,
,Sell,02/07/2023,Sell,$4202.00,,$1650.00,$103250.00,,($1800.00),76.67%,36.67%,$2.50,$12.50,
101,Buy,3/19/2023,LE,$3963.75,$0.00,1,($2530.00),-1.26%,$1287.50,33.99%,,$2.50,$12.50,
,Sell,3/20/2023,Stop Loss,$3913.75,,($2500.00),$100720.00,,($2500.00),0.00%,-66.01%,$2.50,$12.50,
102,Buy,3/22/2023,LE,$3972.50,$0.00,1,$6970.00,3.52%,$7000.00,79.77%,,$2.50,$12.50,
,Sell,3/31/2023,Profit Target,$4112.50,,$7000.00,$107690.00,,($1775.00),100.00%,79.77%,$2.50,$12.50,
103,Buy,04/04/2023,LE,$4134.00,$0.00,1,$2120.00,1.04%,$2750.00,59.46%,,$2.50,$12.50,
,Sell,4/17/2023,Sell,$4177.00,,$2150.00,$109810.00,,($1875.00),87.03%,46.49%,$2.50,$12.50,
104,Buy,4/25/2023,LE,$4110.25,$0.00,1,$2007.50,0.99%,$2812.50,57.54%,,$2.50,$12.50,
,Sell,4/27/2023,Sell,$4151.00,,$2037.50,$111817.50,,($2075.00),84.14%,41.69%,$2.50,$12.50,
105,Buy,05/02/2023,LE,$4133.75,$0.00,1,($2530.00),-1.21%,$1662.50,39.94%,,$2.50,$12.50,
,Sell,05/03/2023,Stop Loss,$4083.75,,($2500.00),$109287.50,,($2500.00),0.00%,-60.06%,$2.50,$12.50,
106,Buy,05/11/2023,LE,$4144.50,,1,n/a,n/a,$1000.00,n/a,,$2.50,$12.50,
,Sell,Open,n/a,$4138.00,,n/a,n/a,,($1637.50),n/a,n/a,n/a,n/a,
,,,,,,,,,,,,,,
Trades List,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Type,Date/Time,Signal,Symbol,Price,Roll Over Amt (USD),Profit/Loss,Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage
1,Buy,08/12/2018,LE,@ES,$2859.25,$0.00,1,$270.00,0.21%,$400.00,33.68%,,$2.50,$12.50
,Sell,8/14/2018,Sell,@ES,$2865.25,,$300.00,$270.00,,($787.50),91.58%,25.26%,$2.50,$12.50
2,Buy,8/23/2018,LE,@ES,$2881.75,$0.00,1,$1045.00,0.75%,$2962.50,96.73%,,$2.50,$12.50
,Sell,09/10/2018,Sell,@ES,$2903.25,,$1075.00,$1315.00,,($100.00),38.37%,35.10%,$2.50,$12.50
3,Buy,11/13/2018,LE,@ES,$2749.75,$0.00,1,($3030.00),-2.18%,$850.00,22.08%,,$2.50,$12.50
,Sell,11/15/2018,Stop Loss,@ES,$2689.75,,($3000.00),($1715.00),,($3000.00),0.00%,-77.92%,$2.50,$12.50
4,Buy,11/19/2018,LE,@ES,$2714.75,$0.00,1,($3030.00),-2.21%,$25.00,0.83%,,$2.50,$12.50
,Sell,11/20/2018,Stop Loss,@ES,$2654.75,,($3000.00),($4745.00),,($3000.00),0.00%,-99.17%,$2.50,$12.50
5,Buy,11/20/2018,LE,@ES,$2658.25,$0.00,1,$5970.00,4.51%,$6000.00,89.72%,,$2.50,$12.50
,Sell,11/30/2018,Profit Target,@ES,$2778.25,,$6000.00,$1225.00,,($687.50),100.00%,89.72%,$2.50,$12.50
6,Buy,12/04/2018,LE,@ES,$2718.00,$0.00,1,($2530.00),-1.84%,$1062.50,29.82%,,$2.50,$12.50
,Sell,12/06/2018,Stop Loss,@ES,$2668.00,,($2500.00),($1305.00),,($2500.00),0.00%,-70.18%,$2.50,$12.50
7,Buy,12/09/2018,LE,@ES,$2643.50,$0.00,1,($2530.00),-1.89%,$3075.00,55.16%,,$2.50,$12.50
,Sell,12/17/2018,Stop Loss,@ES,$2593.50,,($2500.00),($3835.00),,($2500.00),0.00%,-44.84%,$2.50,$12.50
8,Buy,12/19/2018,LE,@ES,$2519.25,$0.00,1,($2530.00),-1.98%,$662.50,20.95%,,$2.50,$12.50
,Sell,12/20/2018,Stop Loss,@ES,$2469.25,,($2500.00),($6365.00),,($2500.00),0.00%,-79.05%,$2.50,$12.50
9,Buy,12/30/2018,LE,@ES,$2510.00,$0.00,1,($2530.00),-1.99%,$1287.50,33.99%,,$2.50,$12.50
,Sell,01/03/2019,Stop Loss,@ES,$2460.00,,($2500.00),($8895.00),,($2500.00),0.00%,-66.01%,$2.50,$12.50
10,Buy,01/03/2019,LE,@ES,$2466.25,$0.00,1,$5970.00,4.87%,$6000.00,90.06%,,$2.50,$12.50
,Sell,01/08/2019,Profit Target,@ES,$2586.25,,$6000.00,($2925.00),,($662.50),100.00%,90.06%,$2.50,$12.50
11,Buy,1/14/2019,LE,@ES,$2596.00,$0.00,1,$5970.00,4.62%,$6000.00,98.77%,,$2.50,$12.50
,Sell,1/31/2019,Profit Target,@ES,$2716.00,,$6000.00,$3045.00,,($75.00),100.00%,98.77%,$2.50,$12.50
12,Buy,02/03/2019,LE,@ES,$2713.75,$0.00,1,$4770.00,3.54%,$5737.50,86.12%,,$2.50,$12.50
,Sell,2/27/2019,Sell,@ES,$2809.75,,$4800.00,$7815.00,,($925.00),85.93%,72.05%,$2.50,$12.50
13,Buy,03/07/2019,LE,@ES,$2763.50,$0.00,1,$5970.00,4.34%,$6000.00,81.08%,,$2.50,$12.50
,Sell,04/02/2019,Profit Target,@ES,$2883.50,,$6000.00,$13785.00,,($1400.00),100.00%,81.08%,$2.50,$12.50
14,Buy,04/09/2019,LE,@ES,$2891.00,$0.00,1,$1382.50,0.98%,$1962.50,90.75%,,$2.50,$12.50
,Sell,4/16/2019,Sell,@ES,$2919.25,,$1412.50,$15167.50,,($200.00),74.57%,65.32%,$2.50,$12.50
15,Buy,4/24/2019,LE,@ES,$2939.00,$0.00,1,$595.00,0.43%,$1075.00,57.72%,,$2.50,$12.50
,Sell,4/29/2019,Sell,@ES,$2951.50,,$625.00,$15762.50,,($787.50),75.84%,33.56%,$2.50,$12.50
16,Buy,05/01/2019,LE,@ES,$2925.50,$0.00,1,$32.50,0.04%,$1650.00,68.04%,,$2.50,$12.50
,Sell,05/05/2019,Sell,@ES,$2926.75,,$62.50,$15795.00,,($775.00),34.54%,2.58%,$2.50,$12.50
17,Buy,05/08/2019,LE,@ES,$2893.00,$0.00,1,($2530.00),-1.73%,$450.00,15.25%,,$2.50,$12.50
,Sell,05/10/2019,Stop Loss,@ES,$2843.00,,($2500.00),$13265.00,,($2500.00),0.00%,-84.75%,$2.50,$12.50
18,Buy,5/13/2019,LE,@ES,$2815.00,$0.00,1,($2530.00),-1.78%,$4400.00,63.77%,,$2.50,$12.50
,Sell,5/31/2019,Stop Loss,@ES,$2765.00,,($2500.00),$10735.00,,($2500.00),0.00%,-36.23%,$2.50,$12.50
19,Buy,06/02/2019,LE,@ES,$2750.00,$0.00,1,$5970.00,4.36%,$6000.00,90.74%,,$2.50,$12.50
,Sell,06/07/2019,Profit Target,@ES,$2870.00,,$6000.00,$16705.00,,($612.50),100.00%,90.74%,$2.50,$12.50
20,Buy,06/11/2019,LE,@ES,$2896.50,$0.00,1,$5545.00,3.85%,$5800.00,85.29%,,$2.50,$12.50
,Sell,07/11/2019,Sell,@ES,$3008.00,,$5575.00,$22250.00,,($1000.00),96.69%,81.99%,$2.50,$12.50
21,Buy,7/17/2019,LE,@ES,$2985.75,$0.00,1,$1082.50,0.75%,$1450.00,72.05%,,$2.50,$12.50
,Sell,7/23/2019,Sell,@ES,$3008.00,,$1112.50,$23332.50,,($562.50),83.23%,55.28%,$2.50,$12.50
22,Buy,7/29/2019,LE,@ES,$3027.25,$0.00,1,($2530.00),-1.65%,$262.50,9.50%,,$2.50,$12.50
,Sell,7/31/2019,Stop Loss,@ES,$2977.25,,($2500.00),$20802.50,,($2500.00),0.00%,-90.50%,$2.50,$12.50
23,Buy,7/31/2019,LE,@ES,$2975.25,$0.00,1,($2530.00),-1.68%,$2200.00,46.81%,,$2.50,$12.50
,Sell,08/02/2019,Stop Loss,@ES,$2925.25,,($2500.00),$18272.50,,($2500.00),0.00%,-53.19%,$2.50,$12.50
24,Buy,08/11/2019,LE,@ES,$2923.75,$0.00,1,($2530.00),-1.71%,$612.50,19.68%,,$2.50,$12.50
,Sell,8/13/2019,Stop Loss,@ES,$2873.75,,($2500.00),$15742.50,,($2500.00),0.00%,-80.32%,$2.50,$12.50
25,Buy,8/14/2019,LE,@ES,$2841.00,$0.00,1,$5970.00,4.22%,$6000.00,82.33%,,$2.50,$12.50
,Sell,09/04/2019,Profit Target,@ES,$2961.00,,$6000.00,$21712.50,,($1287.50),100.00%,82.33%,$2.50,$12.50
26,Buy,09/09/2019,LE,@ES,$2984.25,$0.00,1,$1520.00,1.04%,$2125.00,65.89%,,$2.50,$12.50
,Sell,09/12/2019,Sell,@ES,$3015.25,,$1550.00,$23232.50,,($1100.00),82.17%,48.06%,$2.50,$12.50
27,Buy,9/24/2019,LE,@ES,$2974.25,$0.00,1,$707.50,0.50%,$1037.50,54.61%,,$2.50,$12.50
,Sell,9/25/2019,Sell,@ES,$2989.00,,$737.50,$23940.00,,($862.50),84.21%,38.82%,$2.50,$12.50
28,Buy,10/08/2019,LE,@ES,$2896.75,$0.00,1,$2745.00,1.92%,$3025.00,83.74%,,$2.50,$12.50
,Sell,10/10/2019,Sell,@ES,$2952.25,,$2775.00,$26685.00,,($587.50),93.08%,76.82%,$2.50,$12.50
29,Buy,10/31/2019,LE,@ES,$3039.25,$0.00,1,$1407.50,0.95%,$1450.00,90.63%,,$2.50,$12.50
,Sell,11/03/2019,Sell,@ES,$3068.00,,$1437.50,$28092.50,,($150.00),99.22%,89.84%,$2.50,$12.50
30,Buy,11/20/2019,LE,@ES,$3100.50,$0.00,1,$2432.50,1.59%,$3037.50,68.64%,,$2.50,$12.50
,Sell,12/08/2019,Sell,@ES,$3149.75,,$2462.50,$30525.00,,($1387.50),87.01%,55.65%,$2.50,$12.50
31,Buy,01/05/2020,LE,@ES,$3220.75,$0.00,1,($1530.00),-0.93%,$2375.00,61.29%,,$2.50,$12.50
,Sell,01/07/2020,Stop Loss,@ES,$3190.75,,($1500.00),$28995.00,,($1500.00),0.00%,-38.71%,$2.50,$12.50
32,Buy,01/12/2020,LE,@ES,$3266.25,$0.00,1,$1145.00,0.72%,$1262.50,99.02%,,$2.50,$12.50
,Sell,1/13/2020,Sell,@ES,$3289.75,,$1175.00,$30140.00,,($12.50),93.14%,92.16%,$2.50,$12.50
33,Buy,1/21/2020,LE,@ES,$3321.75,$0.00,1,($1530.00),-0.90%,$812.50,35.14%,,$2.50,$12.50
,Sell,1/24/2020,Stop Loss,@ES,$3291.75,,($1500.00),$28610.00,,($1500.00),0.00%,-64.86%,$2.50,$12.50
34,Buy,1/26/2020,LE,@ES,$3270.25,$0.00,1,($1530.00),-0.92%,$0.00,0.00%,,$2.50,$12.50
,Sell,1/27/2020,Stop Loss,@ES,$3240.25,,($1500.00),$27080.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50
35,Buy,1/27/2020,LE,@ES,$3240.00,$0.00,1,$4970.00,3.09%,$5000.00,78.90%,,$2.50,$12.50
,Sell,02/05/2020,Profit Target,@ES,$3340.00,,$5000.00,$32050.00,,($1337.50),100.00%,78.90%,$2.50,$12.50
36,Buy,02/09/2020,LE,@ES,$3322.75,$0.00,1,($1530.00),-0.90%,$3762.50,71.50%,,$2.50,$12.50
,Sell,2/23/2020,Stop Loss,@ES,$3292.75,,($1500.00),$30520.00,,($1500.00),0.00%,-28.50%,$2.50,$12.50
37,Buy,03/03/2020,LE,@ES,$2988.75,$0.00,1,$4970.00,3.35%,$5000.00,89.49%,,$2.50,$12.50
,Sell,03/04/2020,Profit Target,@ES,$3088.75,,$5000.00,$35490.00,,($587.50),100.00%,89.49%,$2.50,$12.50
38,Buy,03/11/2020,LE,@ES,$2738.75,$0.00,1,($1530.00),-1.10%,$1750.00,53.85%,,$2.50,$12.50
,Sell,03/11/2020,Stop Loss,@ES,$2708.75,,($1500.00),$33960.00,,($1500.00),0.00%,-46.15%,$2.50,$12.50
39,Buy,3/19/2020,LE,@ES,$2362.75,$0.00,1,$4970.00,4.23%,$5000.00,52.36%,,$2.50,$12.50
,Sell,3/20/2020,Profit Target,@ES,$2462.75,,$5000.00,$38930.00,,($4550.00),100.00%,52.36%,$2.50,$12.50
40,Buy,3/22/2020,LE,@ES,$2232.00,$0.00,1,($1530.00),-1.34%,$0.00,0.00%,,$2.50,$12.50
,Sell,3/22/2020,Stop Loss,@ES,$2202.00,,($1500.00),$37400.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50
41,Buy,3/23/2020,LE,@ES,$2245.00,$0.00,1,$4970.00,4.45%,$5000.00,97.32%,,$2.50,$12.50
,Sell,3/24/2020,Profit Target,@ES,$2345.00,,$5000.00,$42370.00,,($137.50),100.00%,97.32%,$2.50,$12.50
42,Buy,3/29/2020,LE,@ES,$2470.75,$0.00,1,$4970.00,4.05%,$5000.00,87.72%,,$2.50,$12.50
,Sell,3/30/2020,Profit Target,@ES,$2570.75,,$5000.00,$47340.00,,($700.00),100.00%,87.72%,$2.50,$12.50
43,Buy,04/01/2020,LE,@ES,$2470.75,$0.00,1,($1530.00),-1.21%,$0.00,0.00%,,$2.50,$12.50
,Sell,04/02/2020,Stop Loss,@ES,$2440.75,,($1500.00),$45810.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50
44,Buy,4/15/2020,LE,@ES,$2779.50,$0.00,1,$4970.00,3.60%,$5000.00,82.14%,,$2.50,$12.50
,Sell,4/16/2020,Profit Target,@ES,$2879.50,,$5000.00,$50780.00,,($1087.50),100.00%,82.14%,$2.50,$12.50
45,Buy,4/20/2020,LE,@ES,$2818.75,$0.00,1,($1530.00),-1.06%,$1312.50,46.67%,,$2.50,$12.50
,Sell,4/20/2020,Stop Loss,@ES,$2788.75,,($1500.00),$49250.00,,($1500.00),0.00%,-53.33%,$2.50,$12.50
46,Buy,4/21/2020,LE,@ES,$2749.00,$0.00,1,$4970.00,3.64%,$5000.00,83.33%,,$2.50,$12.50
,Sell,4/26/2020,Profit Target,@ES,$2849.00,,$5000.00,$54220.00,,($1000.00),100.00%,83.33%,$2.50,$12.50
47,Buy,4/30/2020,LE,@ES,$2883.25,$0.00,1,($1530.00),-1.04%,$412.50,21.57%,,$2.50,$12.50
,Sell,05/01/2020,Stop Loss,@ES,$2853.25,,($1500.00),$52690.00,,($1500.00),0.00%,-78.43%,$2.50,$12.50
48,Buy,05/03/2020,LE,@ES,$2800.75,$0.00,1,$4970.00,3.57%,$5000.00,84.75%,,$2.50,$12.50
,Sell,05/05/2020,Profit Target,@ES,$2900.75,,$5000.00,$57660.00,,($900.00),100.00%,84.75%,$2.50,$12.50
49,Buy,5/13/2020,LE,@ES,$2832.00,$0.00,1,($1530.00),-1.06%,$1675.00,52.76%,,$2.50,$12.50
,Sell,5/14/2020,Stop Loss,@ES,$2802.00,,($1500.00),$56130.00,,($1500.00),0.00%,-47.24%,$2.50,$12.50
50,Buy,6/18/2020,LE,@ES,$3119.00,$0.00,1,($1530.00),-0.96%,$0.00,0.00%,,$2.50,$12.50
,Sell,6/19/2020,Stop Loss,@ES,$3089.00,,($1500.00),$54600.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50
51,Buy,6/21/2020,LE,@ES,$3062.50,$0.00,1,$4970.00,3.27%,$5000.00,88.50%,,$2.50,$12.50
,Sell,6/23/2020,Profit Target,@ES,$3162.50,,$5000.00,$59570.00,,($650.00),100.00%,88.50%,$2.50,$12.50
52,Buy,6/24/2020,LE,@ES,$3069.00,$0.00,1,($1530.00),-0.98%,$1637.50,52.19%,,$2.50,$12.50
,Sell,6/25/2020,Stop Loss,@ES,$3039.00,,($1500.00),$58040.00,,($1500.00),0.00%,-47.81%,$2.50,$12.50
53,Buy,6/25/2020,LE,@ES,$3093.50,$0.00,1,($1530.00),-0.97%,$537.50,26.38%,,$2.50,$12.50
,Sell,6/26/2020,Stop Loss,@ES,$3063.50,,($1500.00),$56510.00,,($1500.00),0.00%,-73.62%,$2.50,$12.50
54,Buy,6/28/2020,LE,@ES,$3008.50,$0.00,1,$4970.00,3.32%,$5000.00,97.32%,,$2.50,$12.50
,Sell,6/30/2020,Profit Target,@ES,$3108.50,,$5000.00,$61480.00,,($137.50),100.00%,97.32%,$2.50,$12.50
55,Buy,07/07/2020,LE,@ES,$3157.50,$0.00,1,($1530.00),-0.95%,$1775.00,54.20%,,$2.50,$12.50
,Sell,07/09/2020,Stop Loss,@ES,$3127.50,,($1500.00),$59950.00,,($1500.00),0.00%,-45.80%,$2.50,$12.50
56,Buy,07/09/2020,LE,@ES,$3164.50,$0.00,1,($1530.00),-0.95%,$0.00,0.00%,,$2.50,$12.50
,Sell,07/10/2020,Stop Loss,@ES,$3134.50,,($1500.00),$58420.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50
57,Buy,7/13/2020,LE,@ES,$3172.00,$0.00,1,($1530.00),-0.95%,$0.00,0.00%,,$2.50,$12.50
,Sell,7/14/2020,Stop Loss,@ES,$3142.00,,($1500.00),$56890.00,,($1500.00),0.00%,-100.00%,$2.50,$12.50
58,Buy,7/16/2020,LE,@ES,$3220.75,$0.00,1,$4970.00,3.10%,$5000.00,92.38%,,$2.50,$12.50
,Sell,08/04/2020,Profit Target,@ES,$3320.75,,$5000.00,$61860.00,,($412.50),100.00%,92.38%,$2.50,$12.50
59,Buy,9/29/2020,LE,@ES,$3362.50,$0.00,1,$707.50,0.44%,$2700.00,58.22%,,$2.50,$12.50
,Sell,9/30/2020,Sell,@ES,$3377.25,,$737.50,$62567.50,,($1937.50),57.68%,15.90%,$2.50,$12.50
60,Buy,11/22/2020,LE,@ES,$3579.00,$0.00,1,$4420.00,2.49%,$4675.00,98.94%,,$2.50,$12.50
,Sell,11/24/2020,Sell,@ES,$3668.00,,$4450.00,$66987.50,,($50.00),95.24%,94.18%,$2.50,$12.50
61,Buy,11/30/2020,LE,@ES,$3663.50,$0.00,1,$1482.50,0.83%,$2325.00,90.29%,,$2.50,$12.50
,Sell,12/01/2020,Sell,@ES,$3693.75,,$1512.50,$68470.00,,($250.00),68.45%,58.74%,$2.50,$12.50
62,Buy,12/13/2020,LE,@ES,$3710.75,$0.00,1,$957.50,0.53%,$1075.00,38.91%,,$2.50,$12.50
,Sell,12/15/2020,Sell,@ES,$3730.50,,$987.50,$69427.50,,($1687.50),96.83%,35.75%,$2.50,$12.50
63,Buy,4/14/2021,LE,@ES,$4174.00,$0.00,1,($2530.00),-1.20%,$5737.50,69.65%,,$2.50,$12.50
,Sell,05/12/2021,Stop Loss,@ES,$4124.00,,($2500.00),$66897.50,,($2500.00),0.00%,-30.35%,$2.50,$12.50
64,Buy,06/01/2021,LE,@ES,$4249.00,$0.00,1,($2530.00),-1.18%,$3462.50,58.07%,,$2.50,$12.50
,Sell,6/20/2021,Stop Loss,@ES,$4199.00,,($2500.00),$64367.50,,($2500.00),0.00%,-41.93%,$2.50,$12.50
65,Buy,07/08/2021,LE,@ES,$4370.25,$0.00,1,($2530.00),-1.14%,$3712.50,59.76%,,$2.50,$12.50
,Sell,7/19/2021,Stop Loss,@ES,$4320.25,,($2500.00),$61837.50,,($2500.00),0.00%,-40.24%,$2.50,$12.50
66,Buy,7/27/2021,LE,@ES,$4440.00,$0.00,1,$2432.50,1.11%,$2912.50,79.79%,,$2.50,$12.50
,Sell,08/10/2021,Sell,@ES,$4489.25,,$2462.50,$64270.00,,($737.50),87.67%,67.47%,$2.50,$12.50
67,Buy,8/17/2021,LE,@ES,$4496.75,$0.00,1,($2530.00),-1.11%,$650.00,20.63%,,$2.50,$12.50
,Sell,8/18/2021,Stop Loss,@ES,$4446.75,,($2500.00),$61740.00,,($2500.00),0.00%,-79.37%,$2.50,$12.50
68,Buy,8/18/2021,LE,@ES,$4449.75,$0.00,1,$5170.00,2.34%,$5412.50,72.05%,,$2.50,$12.50
