

Performance Summary

,All Trades,Long Trades,Short Trades,
,Buy to Cover,06/02/2017 16:00,Cover,$1.00350,,($2625.00),$54916.25,,($2781.25),4.12%,-69.19%,$2.50,$15.00
80,Sell Short,09/02/2017 05:00,Short,$0.99950,$0.00,1,$1302.50,1.07%,$2606.25,95.42%,,$2.50,$15.00
,Buy to Cover,16/02/2017 09:00,Cover,$0.98880,,$1337.50,$56218.75,,($125.00),53.55%,48.97%,$2.50,$15.00
81,Buy,21/02/2017 13:00,Buy,$0.98975,$0.00,1,($747.50),-0.58%,$1762.50,71.03%,,$2.50,$15.00
,Sell,02/03/2017 05:00,Sell,$0.98405,,($712.50),$55471.25,,($718.75),0.25%,-28.72%,$2.50,$15.00
82,Buy,07/03/2017 09:00,Buy,$0.98625,$0.00,1,$2233.75,1.84%,$3118.75,66.53%,,$2.50,$15.00
,Sell,24/03/2017 05:00,Sell,$1.00440,,$2268.75,$57705.00,,($1568.75),81.87%,48.40%,$2.50,$15.00
83,Sell Short,28/03/2017 16:00,Short,$1.00835,$0.00,1,($1266.25),-0.98%,$1287.50,49.52%,,$2.50,$15.00
,Buy to Cover,11/04/2017 16:00,Cover,$1.01820,,($1231.25),$56438.75,,($1312.50),3.13%,-47.36%,$2.50,$15.00
84,Sell Short,19/04/2017 09:00,Short,$1.02435,$0.00,1,$3671.25,2.89%,$4268.75,94.21%,,$2.50,$15.00
,Buy to Cover,04/05/2017 16:00,Cover,$0.99470,,$3706.25,$60110.00,,($262.50),87.59%,81.79%,$2.50,$15.00
85,Sell Short,05/05/2017 13:00,Short,$0.99430,$0.00,1,$577.50,0.49%,$1825.00,93.89%,,$2.50,$15.00
,Buy to Cover,16/05/2017 21:00,Cover,$0.98940,,$612.50,$60687.50,,($118.75),37.62%,31.51%,$2.50,$15.00
86,Sell Short,22/05/2017 21:00,Short,$1.00350,$0.00,1,($1372.50),-1.07%,$831.25,37.46%,,$2.50,$15.00
,Buy to Cover,06/06/2017 01:00,Cover,$1.01420,,($1337.50),$59315.00,,($1387.50),2.25%,-60.28%,$2.50,$15.00
87,Sell Short,08/06/2017 09:00,Short,$1.01260,$0.00,1,$3990.00,3.18%,$4537.50,77.65%,,$2.50,$15.00
,Buy to Cover,11/07/2017 16:00,Cover,$0.98040,,$4025.00,$63305.00,,($1306.25),91.23%,68.88%,$2.50,$15.00
88,Buy,12/07/2017 01:00,Buy,$0.98275,$0.00,1,$1633.75,1.36%,$2956.25,96.73%,,$2.50,$15.00
,Sell,25/07/2017 21:00,Sell,$0.99610,,$1668.75,$64938.75,,($100.00),57.87%,54.60%,$2.50,$15.00
89,Buy,26/07/2017 21:00,Buy,$1.00205,$0.00,1,$871.25,0.72%,$2431.25,80.37%,,$2.50,$15.00
,Sell,15/08/2017 01:00,Sell,$1.00930,,$906.25,$65810.00,,($593.75),49.59%,29.96%,$2.50,$15.00
90,Sell Short,17/08/2017 09:00,Short,$1.00975,$0.00,1,($1378.75),-1.06%,$675.00,26.54%,,$2.50,$15.00
,Buy to Cover,06/09/2017 05:00,Cover,$1.02050,,($1343.75),$64431.25,,($1868.75),20.64%,-52.83%,$2.50,$15.00
91,Sell Short,11/09/2017 13:00,Short,$1.01970,$0.00,1,$3427.50,2.72%,$4093.75,99.09%,,$2.50,$15.00
,Buy to Cover,22/09/2017 01:00,Cover,$0.99200,,$3462.50,$67858.75,,($37.50),84.72%,83.81%,$2.50,$15.00
92,Buy,25/09/2017 16:00,Buy,$0.99545,$0.00,1,($1247.50),-0.97%,$168.75,9.57%,,$2.50,$15.00
,Sell,05/10/2017 21:00,Sell,$0.98575,,($1212.50),$66611.25,,($1593.75),21.63%,-68.79%,$2.50,$15.00
93,Buy,06/10/2017 16:00,Buy,$0.98680,$0.00,1,($397.50),-0.29%,$950.00,72.04%,,$2.50,$15.00
,Sell,18/10/2017 13:00,Sell,$0.98390,,($362.50),$66213.75,,($368.75),0.47%,-27.49%,$2.50,$15.00
94,Sell Short,26/10/2017 13:00,Short,$0.97670,$0.00,1,($578.75),-0.45%,$906.25,51.60%,,$2.50,$15.00
,Buy to Cover,15/11/2017 01:00,Cover,$0.98105,,($543.75),$65635.00,,($850.00),17.44%,-30.96%,$2.50,$15.00
95,Sell Short,28/11/2017 13:00,Short,$0.99505,$0.00,1,$1765.00,1.45%,$2431.25,88.41%,,$2.50,$15.00
,Buy to Cover,13/12/2017 13:00,Cover,$0.98065,,$1800.00,$67400.00,,($318.75),77.05%,65.45%,$2.50,$15.00
96,Sell Short,19/12/2017 01:00,Short,$0.98455,$0.00,1,$371.25,0.33%,$1037.50,91.71%,,$2.50,$15.00
,Buy to Cover,26/12/2017 16:00,Cover,$0.98130,,$406.25,$67771.25,,($93.75),44.20%,35.91%,$2.50,$15.00
97,Buy,27/12/2017 16:00,Buy,$0.97925,$0.00,1,($78.75),-0.04%,$1006.25,84.29%,,$2.50,$15.00
,Sell,05/01/2018 05:00,Sell,$0.97890,,($43.75),$67692.50,,($187.50),12.04%,-3.66%,$2.50,$15.00
98,Buy,09/01/2018 01:00,Buy,$0.98295,$0.00,1,$1158.75,0.97%,$2368.75,85.36%,,$2.50,$15.00
,Sell,17/01/2018 21:00,Sell,$0.99250,,$1193.75,$68851.25,,($406.25),57.66%,43.02%,$2.50,$15.00
99,Buy,19/01/2018 09:00,Buy,$0.99785,$0.00,1,$1271.25,1.05%,$2462.50,81.07%,,$2.50,$15.00
,Sell,01/02/2018 01:00,Sell,$1.00830,,$1306.25,$70122.50,,($575.00),61.93%,43.00%,$2.50,$15.00
100,Buy,05/02/2018 21:00,Buy,$1.01010,$0.00,1,$2671.25,2.14%,$3812.50,83.79%,,$2.50,$15.00
,Sell,19/02/2018 05:00,Sell,$1.03175,,$2706.25,$72793.75,,($737.50),75.69%,59.48%,$2.50,$15.00
101,Sell Short,19/02/2018 13:00,Short,$1.03050,$0.00,1,($541.25),-0.39%,$1350.00,72.73%,,$2.50,$15.00
,Buy to Cover,01/03/2018 21:00,Cover,$1.03455,,($506.25),$72252.50,,($506.25),0.00%,-27.27%,$2.50,$15.00
102,Sell Short,06/03/2018 01:00,Short,$1.03200,$0.00,1,($747.50),-0.55%,$1018.75,48.95%,,$2.50,$15.00
,Buy to Cover,16/03/2018 09:00,Cover,$1.03770,,($712.50),$71505.00,,($1062.50),16.82%,-34.23%,$2.50,$15.00
103,Sell Short,19/03/2018 21:00,Short,$1.03475,$0.00,1,$3783.75,2.95%,$4187.50,73.06%,,$2.50,$15.00
,Buy to Cover,27/04/2018 13:00,Cover,$1.00420,,$3818.75,$75288.75,,($1543.75),93.57%,66.63%,$2.50,$15.00
104,Sell Short,30/04/2018 09:00,Short,$1.00375,$0.00,1,$483.75,0.41%,$2362.50,79.92%,,$2.50,$15.00
,Buy to Cover,23/05/2018 09:00,Cover,$0.99960,,$518.75,$75772.50,,($593.75),37.63%,17.55%,$2.50,$15.00
105,Sell Short,01/06/2018 01:00,Short,$1.00350,$0.00,1,$652.50,0.55%,$2056.25,98.50%,,$2.50,$15.00
,Buy to Cover,19/06/2018 05:00,Cover,$0.99800,,$687.50,$76425.00,,($31.25),34.43%,32.93%,$2.50,$15.00
106,Sell Short,20/06/2018 21:00,Short,$0.99115,$0.00,1,$2202.50,1.81%,$3081.25,74.58%,,$2.50,$15.00
,Buy to Cover,19/07/2018 16:00,Cover,$0.97325,,$2237.50,$78627.50,,($1050.00),79.58%,54.16%,$2.50,$15.00
107,Sell Short,26/07/2018 16:00,Short,$0.98210,$0.00,1,($216.25),-0.15%,$1000.00,66.67%,,$2.50,$15.00
,Buy to Cover,08/08/2018 09:00,Cover,$0.98355,,($181.25),$78411.25,,($500.00),21.25%,-12.08%,$2.50,$15.00
108,Sell Short,14/08/2018 05:00,Short,$0.98375,$0.00,1,($916.25),-0.72%,$587.50,35.21%,,$2.50,$15.00
,Buy to Cover,21/08/2018 01:00,Cover,$0.99080,,($881.25),$77495.00,,($1081.25),11.99%,-52.81%,$2.50,$15.00
109,Sell Short,22/08/2018 16:00,Short,$0.98605,$0.00,1,$3402.50,2.79%,$3856.25,96.56%,,$2.50,$15.00
,Buy to Cover,02/10/2018 21:00,Cover,$0.95855,,$3437.50,$80897.50,,($137.50),89.51%,86.07%,$2.50,$15.00
110,Sell Short,03/10/2018 01:00,Short,$0.95795,$0.00,1,($1378.75),-1.12%,$850.00,38.10%,,$2.50,$15.00
,Buy to Cover,10/10/2018 21:00,Cover,$0.96870,,($1343.75),$79518.75,,($1381.25),1.68%,-60.22%,$2.50,$15.00
111,Sell Short,16/10/2018 13:00,Short,$0.96945,$0.00,1,$1308.75,1.11%,$2368.75,77.66%,,$2.50,$15.00
,Buy to Cover,15/11/2018 13:00,Cover,$0.95870,,$1343.75,$80827.50,,($681.25),66.39%,44.06%,$2.50,$15.00
112,Sell Short,25/11/2018 21:00,Short,$0.96075,$0.00,1,($116.25),-0.07%,$1118.75,90.86%,,$2.50,$15.00
,Buy to Cover,04/12/2018 09:00,Cover,$0.96140,,($81.25),$80711.25,,($112.50),2.54%,-6.60%,$2.50,$15.00
113,Sell Short,10/12/2018 13:00,Short,$0.95985,$0.00,1,($147.50),-0.09%,$875.00,88.05%,,$2.50,$15.00
,Buy to Cover,17/12/2018 16:00,Cover,$0.96075,,($112.50),$80563.75,,($118.75),0.63%,-11.32%,$2.50,$15.00
114,Sell Short,26/12/2018 21:00,Short,$0.97050,$0.00,1,($2097.50),-1.70%,$25.00,1.13%,,$2.50,$15.00
,Buy to Cover,02/01/2019 05:00,Cover,$0.98700,,($2062.50),$78466.25,,($2193.75),5.92%,-92.96%,$2.50,$15.00
115,Sell Short,11/01/2019 16:00,Short,$0.99290,$0.00,1,$558.75,0.48%,$1693.75,76.55%,,$2.50,$15.00
,Buy to Cover,31/01/2019 01:00,Cover,$0.98815,,$593.75,$79025.00,,($518.75),50.28%,26.84%,$2.50,$15.00
116,Sell Short,01/02/2019 16:00,Short,$0.98245,$0.00,1,$1127.50,0.95%,$1962.50,95.44%,,$2.50,$15.00
,Buy to Cover,27/02/2019 09:00,Cover,$0.97315,,$1162.50,$80152.50,,($93.75),61.09%,56.53%,$2.50,$15.00
117,Sell Short,27/02/2019 13:00,Short,$0.97000,$0.00,1,$321.25,0.29%,$1381.25,90.57%,,$2.50,$15.00
,Buy to Cover,08/03/2019 05:00,Cover,$0.96715,,$356.25,$80473.75,,($143.75),32.79%,23.36%,$2.50,$15.00
118,Sell Short,12/03/2019 09:00,Short,$0.96460,$0.00,1,($1310.00),-1.06%,$575.00,30.46%,,$2.50,$15.00
,Buy to Cover,22/03/2019 13:00,Cover,$0.97480,,($1275.00),$79163.75,,($1312.50),1.99%,-67.55%,$2.50,$15.00
119,Buy,26/03/2019 16:00,Buy,$0.97115,$0.00,1,($1028.75),-0.82%,$412.50,27.27%,,$2.50,$15.00
,Sell,02/04/2019 09:00,Sell,$0.96320,,($993.75),$78135.00,,($1100.00),7.02%,-65.70%,$2.50,$15.00
120,Buy,08/04/2019 09:00,Buy,$0.96240,$0.00,1,($697.50),-0.55%,$562.50,45.23%,,$2.50,$15.00
,Sell,12/04/2019 16:00,Sell,$0.95710,,($662.50),$77437.50,,($681.25),1.51%,-53.27%,$2.50,$15.00
121,Buy,18/04/2019 05:00,Buy,$0.95785,$0.00,1,$1790.00,1.52%,$2737.50,82.95%,,$2.50,$15.00
,Sell,16/05/2019 13:00,Sell,$0.97245,,$1825.00,$79227.50,,($562.50),72.35%,55.30%,$2.50,$15.00
122,Buy,23/05/2019 09:00,Buy,$0.97010,$0.00,1,$1377.50,1.16%,$2281.25,96.31%,,$2.50,$15.00
,Sell,07/06/2019 09:00,Sell,$0.98140,,$1412.50,$80605.00,,($87.50),63.32%,59.63%,$2.50,$15.00
123,Buy,07/06/2019 13:00,Buy,$0.98570,$0.00,1,($222.50),-0.15%,$1262.50,61.77%,,$2.50,$15.00
,Sell,27/06/2019 05:00,Sell,$0.98420,,($187.50),$80382.50,,($781.25),29.05%,-9.17%,$2.50,$15.00
124,Sell Short,05/07/2019 09:00,Short,$0.98415,$0.00,1,$83.75,0.10%,$1056.25,98.83%,,$2.50,$15.00
,Buy to Cover,11/07/2019 01:00,Cover,$0.98320,,$118.75,$80466.25,,($12.50),12.28%,11.11%,$2.50,$15.00
125,Sell Short,16/07/2019 13:00,Short,$0.98190,$0.00,1,($697.50),-0.54%,$1331.25,56.05%,,$2.50,$15.00
,Buy to Cover,01/08/2019 16:00,Cover,$0.98720,,($662.50),$79768.75,,($1043.75),16.05%,-27.89%,$2.50,$15.00
126,Sell Short,08/08/2019 01:00,Short,$0.99675,$0.00,1,$1977.50,1.62%,$2706.25,57.89%,,$2.50,$15.00
,Buy to Cover,20/09/2019 05:00,Cover,$0.98065,,$2012.50,$81746.25,,($1968.75),85.16%,43.05%,$2.50,$15.00
127,Sell Short,25/09/2019 16:00,Short,$0.98080,$0.00,1,($972.50),-0.76%,$818.75,38.64%,,$2.50,$15.00
,Buy to Cover,04/10/2019 01:00,Cover,$0.98830,,($937.50),$80773.75,,($1300.00),17.11%,-44.25%,$2.50,$15.00
128,Sell Short,07/10/2019 16:00,Short,$0.98310,$0.00,1,$1177.50,0.99%,$2231.25,77.95%,,$2.50,$15.00
,Buy to Cover,31/10/2019 09:00,Cover,$0.97340,,$1212.50,$81951.25,,($631.25),64.41%,42.36%,$2.50,$15.00
129,Sell Short,12/11/2019 01:00,Short,$0.96570,$0.00,1,($472.50),-0.36%,$743.75,44.07%,,$2.50,$15.00
,Buy to Cover,06/12/2019 09:00,Cover,$0.96920,,($437.50),$81478.75,,($943.75),30.00%,-25.93%,$2.50,$15.00
130,Sell Short,06/12/2019 13:00,Short,$0.96690,$0.00,1,$202.50,0.20%,$1050.00,70.59%,,$2.50,$15.00
,Buy to Cover,30/12/2019 13:00,Cover,$0.96500,,$237.50,$81681.25,,($437.50),45.38%,15.97%,$2.50,$15.00
131,Sell Short,07/01/2020 01:00,Short,$0.96775,$0.00,1,$1221.25,1.04%,$2000.00,69.57%,,$2.50,$15.00
,Buy to Cover,23/01/2020 05:00,Cover,$0.95770,,$1256.25,$82902.50,,($875.00),74.13%,43.70%,$2.50,$15.00
132,Sell Short,29/01/2020 16:00,Short,$0.96045,$0.00,1,$2446.25,2.07%,$3250.00,77.84%,,$2.50,$15.00
,Buy to Cover,24/02/2020 01:00,Cover,$0.94060,,$2481.25,$85348.75,,($925.00),81.59%,59.43%,$2.50,$15.00
133,Buy,24/02/2020 13:00,Buy,$0.94630,$0.00,1,$3408.75,2.91%,$4081.25,93.15%,,$2.50,$15.00
,Sell,04/03/2020 05:00,Sell,$0.97385,,$3443.75,$88757.50,,($300.00),85.45%,78.60%,$2.50,$15.00
134,Sell Short,10/03/2020 21:00,Short,$0.99210,$0.00,1,$5258.75,4.27%,$6187.50,70.97%,,$2.50,$15.00
,Buy to Cover,20/03/2020 01:00,Cover,$0.94975,,$5293.75,$94016.25,,($2531.25),89.75%,60.72%,$2.50,$15.00
135,Sell Short,02/04/2020 16:00,Short,$0.96770,$0.00,1,($97.50),-0.05%,$1606.25,91.79%,,$2.50,$15.00
,Buy to Cover,13/04/2020 13:00,Cover,$0.96820,,($62.50),$93918.75,,($143.75),4.64%,-3.57%,$2.50,$15.00
136,Sell Short,16/04/2020 01:00,Short,$0.96720,$0.00,1,($1678.75),-1.36%,$243.75,12.23%,,$2.50,$15.00
,Buy to Cover,06/05/2020 09:00,Cover,$0.98035,,($1643.75),$92240.00,,($1750.00),5.33%,-82.45%,$2.50,$15.00
137,Sell Short,08/05/2020 13:00,Short,$0.97730,$0.00,1,$2465.00,2.05%,$3487.50,92.69%,,$2.50,$15.00
,Buy to Cover,08/06/2020 13:00,Cover,$0.95730,,$2500.00,$94705.00,,($275.00),73.75%,66.45%,$2.50,$15.00
138,Buy,08/06/2020 16:00,Buy,$0.96220,$0.00,1,$1140.00,0.98%,$2431.25,91.96%,,$2.50,$15.00
,Sell,25/06/2020 09:00,Sell,$0.97160,,$1175.00,$95845.00,,($212.50),52.48%,44.44%,$2.50,$15.00
139,Buy,03/07/2020 05:00,Buy,$0.96875,$0.00,1,$1915.00,1.61%,$3650.00,91.39%,,$2.50,$15.00
,Sell,31/07/2020 13:00,Sell,$0.98435,,$1950.00,$97760.00,,($343.75),57.43%,48.83%,$2.50,$15.00
140,Buy,05/08/2020 13:00,Buy,$0.98705,$0.00,1,($1066.25),-0.84%,$293.75,13.58%,,$2.50,$15.00
,Sell,08/09/2020 05:00,Sell,$0.97880,,($1031.25),$96693.75,,($1868.75),38.73%,-47.69%,$2.50,$15.00
141,Buy,08/09/2020 13:00,Buy,$0.98125,$0.00,1,$833.75,0.71%,$2237.50,86.47%,,$2.50,$15.00
,Sell,23/09/2020 01:00,Sell,$0.98820,,$868.75,$97527.50,,($350.00),47.10%,33.57%,$2.50,$15.00
142,Sell Short,28/09/2020 09:00,Short,$0.98675,$0.00,1,($260.00),-0.18%,$887.50,66.98%,,$2.50,$15.00
,Buy to Cover,14/10/2020 21:00,Cover,$0.98855,,($225.00),$97267.50,,($437.50),16.04%,-16.98%,$2.50,$15.00
143,Sell Short,15/10/2020 16:00,Short,$0.98565,$0.00,1,($1178.75),-0.93%,$362.50,22.57%,,$2.50,$15.00
,Buy to Cover,27/10/2020 16:00,Cover,$0.99480,,($1143.75),$96088.75,,($1243.75),6.23%,-71.21%,$2.50,$15.00
144,Sell Short,29/10/2020 16:00,Short,$0.99220,$0.00,1,($478.75),-0.36%,$1131.25,39.26%,,$2.50,$15.00
,Buy to Cover,17/11/2020 09:00,Cover,$0.99575,,($443.75),$95610.00,,($1750.00),45.34%,-15.40%,$2.50,$15.00
145,Sell Short,23/11/2020 13:00,Short,$0.99795,$0.00,1,($472.50),-0.35%,$837.50,59.03%,,$2.50,$15.00
,Buy to Cover,16/12/2020 01:00,Cover,$1.00145,,($437.50),$95137.50,,($581.25),10.13%,-30.84%,$2.50,$15.00
146,Sell Short,21/12/2020 05:00,Short,$1.00345,$0.00,1,$71.25,0.08%,$1231.25,58.11%,,$2.50,$15.00
,Buy to Cover,21/01/2021 09:00,Cover,$1.00260,,$106.25,$95208.75,,($887.50),46.90%,5.01%,$2.50,$15.00
147,Sell Short,22/01/2021 13:00,Short,$0.99910,$0.00,1,$1208.75,1.00%,$2281.25,89.46%,,$2.50,$15.00
,Buy to Cover,09/02/2021 05:00,Cover,$0.98915,,$1243.75,$96417.50,,($268.75),59.31%,48.77%,$2.50,$15.00
148,Sell Short,12/02/2021 01:00,Short,$0.98925,$0.00,1,$3827.50,3.12%,$4212.50,98.39%,,$2.50,$15.00
,Buy to Cover,05/03/2021 13:00,Cover,$0.95835,,$3862.50,$100245.00,,($68.75),91.82%,90.22%,$2.50,$15.00
149,Buy,10/03/2021 21:00,Buy,$0.95745,$0.00,1,($1591.25),-1.30%,$56.25,3.32%,,$2.50,$15.00
,Sell,30/03/2021 01:00,Sell,$0.94500,,($1556.25),$98653.75,,($1637.50),4.80%,-91.88%,$2.50,$15.00
150,Sell Short,02/04/2021 13:00,Short,$0.93840,$0.00,1,($1916.25),-1.60%,$81.25,3.94%,,$2.50,$15.00
,Buy to Cover,14/04/2021 01:00,Cover,$0.95345,,($1881.25),$96737.50,,($1981.25),4.85%,-91.21%,$2.50,$15.00
151,Sell Short,26/04/2021 13:00,Short,$0.96040,$0.00,1,$821.25,0.71%,$1900.00,93.54%,,$2.50,$15.00
,Buy to Cover,24/05/2021 05:00,Cover,$0.95355,,$856.25,$97558.75,,($131.25),48.62%,42.15%,$2.50,$15.00
152,Sell Short,25/05/2021 13:00,Short,$0.95245,$0.00,1,$508.75,0.46%,$1481.25,86.50%,,$2.50,$15.00
,Buy to Cover,09/06/2021 01:00,Cover,$0.94810,,$543.75,$98067.50,,($231.25),45.26%,31.75%,$2.50,$15.00
153,Sell Short,09/06/2021 16:00,Short,$0.94660,$0.00,1,$833.75,0.73%,$2125.00,87.18%,,$2.50,$15.00
,Buy to Cover,07/07/2021 01:00,Cover,$0.93965,,$868.75,$98901.25,,($312.50),48.46%,35.64%,$2.50,$15.00
154,Sell Short,12/07/2021 13:00,Short,$0.94030,$0.00,1,($1147.50),-0.95%,$375.00,22.14%,,$2.50,$15.00
,Buy to Cover,03/08/2021 01:00,Cover,$0.94920,,($1112.50),$97753.75,,($1318.75),12.18%,-65.68%,$2.50,$15.00
155,Sell Short,04/08/2021 16:00,Short,$0.94710,$0.00,1,$115.00,0.13%,$1356.25,93.53%,,$2.50,$15.00
,Buy to Cover,13/08/2021 16:00,Cover,$0.94590,,$150.00,$97868.75,,($93.75),16.81%,10.34%,$2.50,$15.00
156,Sell Short,20/08/2021 13:00,Short,$0.94420,$0.00,1,$1202.50,1.05%,$2337.50,76.17%,,$2.50,$15.00
,Buy to Cover,04/10/2021 01:00,Cover,$0.93430,,$1237.50,$99071.25,,($731.25),64.15%,40.33%,$2.50,$15.00
157,Sell Short,05/10/2021 13:00,Short,$0.93115,$0.00,1,$2590.00,2.26%,$3262.50,94.57%,,$2.50,$15.00
,Buy to Cover,21/10/2021 05:00,Cover,$0.91015,,$2625.00,$101661.25,,($187.50),81.52%,76.09%,$2.50,$15.00
158,Sell Short,26/10/2021 05:00,Short,$0.91050,$0.00,1,($416.25),-0.33%,$1493.75,55.07%,,$2.50,$15.00
,Buy to Cover,26/11/2021 13:00,Cover,$0.91355,,($381.25),$101245.00,,($1218.75),30.88%,-14.06%,$2.50,$15.00
159,Sell Short,03/12/2021 05:00,Short,$0.91520,$0.00,1,$2277.50,2.02%,$2931.25,79.09%,,$2.50,$15.00
,Buy to Cover,07/01/2022 13:00,Cover,$0.89670,,$2312.50,$103522.50,,($775.00),83.31%,62.39%,$2.50,$15.00
160,Buy,19/01/2022 05:00,Buy,$0.90755,$0.00,1,($1041.25),-0.89%,$762.50,35.78%,,$2.50,$15.00
,Sell,07/02/2022 01:00,Sell,$0.89950,,($1006.25),$102481.25,,($1368.75),17.01%,-47.21%,$2.50,$15.00
161,Buy,11/02/2022 16:00,Buy,$0.89895,$0.00,1,($303.75),-0.24%,$906.25,65.32%,,$2.50,$15.00
,Sell,03/03/2022 01:00,Sell,$0.89680,,($268.75),$102177.50,,($481.25),15.32%,-19.37%,$2.50,$15.00
162,Buy,04/03/2022 13:00,Buy,$0.90035,$0.00,1,($741.25),-0.63%,$587.50,43.52%,,$2.50,$15.00
,Sell,09/03/2022 09:00,Sell,$0.89470,,($706.25),$101436.25,,($762.50),4.17%,-52.31%,$2.50,$15.00
163,Sell Short,29/03/2022 16:00,Short,$0.84545,$0.00,1,$2246.25,2.16%,$2850.00,68.99%,,$2.50,$15.00
,Buy to Cover,13/04/2022 16:00,Cover,$0.82720,,$2281.25,$103682.50,,($1281.25),86.23%,55.22%,$2.50,$15.00
164,Sell Short,14/04/2022 13:00,Short,$0.82500,$0.00,1,$1615.00,1.60%,$2675.00,93.86%,,$2.50,$15.00
,Buy to Cover,20/04/2022 09:00,Cover,$0.81180,,$1650.00,$105297.50,,($175.00),64.04%,57.89%,$2.50,$15.00
165,Sell Short,22/04/2022 09:00,Short,$0.80945,$0.00,1,$1265.00,1.28%,$2112.50,64.88%,,$2.50,$15.00
,Buy to Cover,04/05/2022 05:00,Cover,$0.79905,,$1300.00,$106562.50,,($1143.75),75.05%,39.92%,$2.50,$15.00
166,Buy,04/05/2022 09:00,Buy,$0.79985,$0.00,1,($778.75),-0.74%,$1043.75,55.85%,,$2.50,$15.00
,Sell,09/05/2022 05:00,Sell,$0.79390,,($743.75),$105783.75,,($825.00),4.35%,-39.80%,$2.50,$15.00
167,Buy,10/05/2022 13:00,Buy,$0.79925,$0.00,1,$552.50,0.59%,$1931.25,78.23%,,$2.50,$15.00
,Sell,16/05/2022 16:00,Sell,$0.80395,,$587.50,$106336.25,,($537.50),45.57%,23.80%,$2.50,$15.00
168,Sell Short,17/05/2022 01:00,Short,$0.80375,$0.00,1,($1966.25),-1.92%,$362.50,13.94%,,$2.50,$15.00
,Buy to Cover,26/05/2022 09:00,Cover,$0.81920,,($1931.25),$104370.00,,($2237.50),11.78%,-74.28%,$2.50,$15.00
169,Sell Short,27/05/2022 16:00,Short,$0.81690,$0.00,1,$2627.50,2.61%,$3068.75,94.42%,,$2.50,$15.00
,Buy to Cover,06/06/2022 01:00,Cover,$0.79560,,$2662.50,$106997.50,,($181.25),87.50%,81.92%,$2.50,$15.00
170,Sell Short,13/06/2022 16:00,Short,$0.77580,$0.00,1,$121.25,0.16%,$1781.25,48.72%,,$2.50,$15.00
,Buy to Cover,23/06/2022 13:00,Cover,$0.77455,,$156.25,$107118.75,,($1875.00),55.56%,4.27%,$2.50,$15.00
171,Sell Short,27/06/2022 16:00,Short,$0.76845,$0.00,1,($297.50),-0.27%,$1100.00,73.95%,,$2.50,$15.00
,Buy to Cover,01/07/2022 05:00,Cover,$0.77055,,($262.50),$106821.25,,($387.50),8.40%,-17.65%,$2.50,$15.00
172,Sell Short,05/07/2022 01:00,Short,$0.76295,$0.00,1,$1171.25,1.26%,$2043.75,68.41%,,$2.50,$15.00
,Buy to Cover,18/07/2022 16:00,Cover,$0.75330,,$1206.25,$107992.50,,($943.75),71.97%,40.38%,$2.50,$15.00
173,Buy,19/07/2022 05:00,Buy,$0.75365,$0.00,1,$415.00,0.48%,$1606.25,72.60%,,$2.50,$15.00
,Sell,27/07/2022 16:00,Sell,$0.75725,,$450.00,$108407.50,,($606.25),47.74%,20.34%,$2.50,$15.00
174,Buy,27/07/2022 21:00,Buy,$0.76080,$0.00,1,$3540.00,3.76%,$4318.75,99.57%,,$2.50,$15.00
,Sell,02/08/2022 13:00,Sell,$0.78940,,$3575.00,$111947.50,,($18.75),82.85%,82.42%,$2.50,$15.00
175,Buy,10/08/2022 13:00,Buy,$0.78200,$0.00,1,($1616.25),-1.62%,$612.50,26.92%,,$2.50,$15.00
,Sell,17/08/2022 09:00,Sell,$0.76935,,($1581.25),$110331.25,,($1662.50),3.57%,-69.51%,$2.50,$15.00
176,Sell Short,24/08/2022 13:00,Short,$0.75650,$0.00,1,$3927.50,4.19%,$4225.00,87.79%,,$2.50,$15.00
,Buy to Cover,07/09/2022 01:00,Cover,$0.72480,,$3962.50,$114258.75,,($587.50),94.55%,82.34%,$2.50,$15.00
177,Buy,09/09/2022 09:00,Buy,$0.73035,$0.00,1,($1141.25),-1.21%,$312.50,13.37%,,$2.50,$15.00
,Sell,20/09/2022 21:00,Sell,$0.72150,,($1106.25),$113117.50,,($2025.00),39.30%,-47.33%,$2.50,$15.00
178,Buy,22/09/2022 09:00,Buy,$0.72400,$0.00,1,($985.00),-1.05%,$1781.25,64.33%,,$2.50,$15.00
,Sell,26/09/2022 21:00,Sell,$0.71640,,($950.00),$112132.50,,($987.50),1.35%,-34.31%,$2.50,$15.00
179,Sell Short,29/09/2022 01:00,Short,$0.71830,$0.00,1,$3365.00,3.79%,$3550.00,89.45%,,$2.50,$15.00
,Buy to Cover,20/10/2022 09:00,Cover,$0.69110,,$3400.00,$115497.50,,($418.75),96.22%,85.67%,$2.50,$15.00
180,Buy,21/10/2022 16:00,Buy,$0.69750,$0.00,1,$315.00,0.40%,$1868.75,71.36%,,$2.50,$15.00
,Sell,28/10/2022 09:00,Sell,$0.70030,,$350.00,$115812.50,,($750.00),42.00%,13.37%,$2.50,$15.00
181,Buy,30/10/2022 21:00,Buy,$0.69995,$0.00,1,$3508.75,4.05%,$4462.50,87.39%,,$2.50,$15.00
,Sell,10/11/2022 21:00,Sell,$0.72830,,$3543.75,$119321.25,,($643.75),82.01%,69.40%,$2.50,$15.00
182,Sell Short,17/11/2022 09:00,Short,$0.73635,$0.00,1,($47.50),-0.01%,$1500.00,88.24%,,$2.50,$15.00
